"","Site","Org","Location","latitude","longitude","Year","Date","random_site","occ.status","slope","aspect","elevation","tempc","windms","day.of.year","dist.road","summer.tmax","winter.tmin","percent.tmax.days","summer.pcpn.mm","winter.pcpn.mm","lowshrub","tallshrub","eds","vegclass","veg.height","lowshrub.cover","aspectRad","northness","eastness"
"1","P003","ACCS","Hatcher Pass",61.795912,-149.272744,2018,"7/9/2018",0,"occupied",17.2112236,219.0667572,1138,8.27777777777778,1.92221725525257,190,518.3863424,10.64304348,-11.27578512,0,380.8,858.86,"NA","NA",37.7619047619048,"eds",0,10,3.82343619480699,-0.776412192204544,-0.630225442041286
"2","P005","ACCS","Hatcher Pass",61.781319,-149.332478,2018,"7/10/2018",0,"occupied",37.4900169,122.0604324,1206,10,1.29637907912383,191,1037.908197,10.46347826,-11.44355372,0,454.13,795.46,"NA","NA",37.7619047619048,"eds",0.35,26.6666666666667,2.13035643178796,-0.530813443245684,0.84748869518694
"3","P008","ACCS","Hatcher Pass",61.7676149,-149.347223,2018,"7/11/2018",0,"occupied",4.768764,277.7577515,1054,6.66666666666667,2.10102816271793,192,356.150249,11.82804348,-11.35595041,0,435.3,738.9,"NA","NA",37.7619047619048,"eds",0.3,48.5,4.84778728661122,0.134984982490774,-0.990847644444879
"4","P007","ACCS","Hatcher Pass",61.771669,-149.307037,2018,"7/13/2018",0,"occupied",17.5566101,118.4687881,1159,10.5555555555556,1.07286544479213,194,41.36374222,10.42717391,-11.31512397,0,435.27,733.33,"NA","NA",37.7619047619048,"eds",0.213233333333333,30.6666666666667,2.06767041319248,-0.476679953492204,0.879076914688737
"5","P042","ACCS","Steese",65.483216,-145.401455,2018,"7/17/2018",0,"occupied",16.5199165,260.5579224,1140,7,5.4,198,243.5579036,13.79445652,-17.40619835,0,275.55,115.12,"1","NA",10,"dds",0.08,0,4.54759363803589,-0.164050449488355,-0.986451950184432
"6","P037","ACCS","Steese",65.500575,-145.33842,2018,"7/18/2018",0,"unoccupied",21.5487175,105.7481232,959,17.7,0.8,199,1706.016156,16.85184783,-17.77016529,0,233.5,94.05,"NA","NA",7.5,"ls",0.025,37.5,1.8456529276446,-0.271408923209071,0.962464127332802
"7","P051","ACCS","Steese",65.407041,-146.007,2018,"7/19/2018",0,"occupied",18.9024372,184.3298492,1231,9.5,5.1,200,1202.489639,14.44173913,-15.50570248,0,229.94,113.87,"5","NA",15,"dds",0.0462,7.33,3.21716277824464,-0.997145936776845,-0.0754982169950274
"8","P038","ACCS","Steese",65.494097,-145.441584,2018,"7/20/2018",0,"unoccupied",13.3049507,340.7592468,1140,10.3,3.9,201,1799.8806,14.18021739,-17.35438017,0,268.32,111.43,"2","NA",42.5,"dds",0.0462,7.33,5.94737081327595,0.944142215916652,-0.329538277175798
"9","P039","ACCS","Steese",65.498644,-145.500423,2018,"7/21/2018",0,"unoccupied",18.8271389,308.9629517,1034,16.3,1.7,202,4244.494248,15.29152174,-17.26421488,0,250.79,103.39,"1","NA",75,"eds",0.04,1,5.39242077384521,0.628817745428202,-0.777552726851751
"10","P060","ACCS","Steese",65.373228,-146.636898,2018,"7/23/2018",0,"occupied",9.4046021,317.8297729,1097,25.8,1.3,204,1789.677056,14.50576087,-14.71545455,0,255.11,147,"2","NA",20,"dds",0.04,1,5.54717599797085,0.741153545872449,-0.671335550556274
"11","P118","ACCS","Paxson",63.08574,-146.36537,2018,"7/31/2018",0,"occupied",16.2792263,354.8774109,1258,25.7777777777778,1.20697362539115,212,59.59981517,15.04315217,-21.88057851,1.0869565,274.71,134.76,"2","NA",85,"eds",0.08,1,6.19377926115781,0.99600594105395,-0.0892869832911579
"12","P063","ACCS","Paxson",63.49724,-145.80457,2018,"8/1/2018",0,"occupied",21.6198769,245.3105469,1097,19.0555555555556,1.56459544032186,213,2768.307959,17.41271739,-21.08181818,2.173913,327.75,201.87,"30","NA",35,"eds",0.099,11.5,4.28147673327297,-0.417699830235153,-0.908585082323898
