station,Latitude,longitude,Region,UnitSub
Skwentna,61.9772,-151.2169,4,16B
Soldotna 5 SSW,60.4194,-151.1336,2,15B
Susitna Valley HS,62.12,-150.04,4,14B
Hayes River,61.9872,-152.0758,4,16B
Monahan Flat,63.31,-147.65,4,13E
Chicken,64.0917,-141.9211,3,20E
Tok,63.3337,-143.0372,3,12Z
Kenai moose pens,60.73,-150.48,2,15A
Sleetmute 1.4 SSE,61.7025,-157.1699,3,19A
Sterling 6 SW,60.4905,-150.9188,2,15A
Circle Hot Springs,65.4939,-144.6422,3,25C
Glennallen KCAM,62.1086,-145.5331,4,13A
Bettles Airport,66.9169,-151.5154,3,24B
Eagle Summit,65.49,-145.41,3,25C
Upper Chena,65.1,-144.93,3,20B
Upper Nome Creek,65.37,-146.59,3,25C
McGrath AP,62.9574,-155.6103,3,19D
King Salmon,58.6829,-156.6563,4,09C
Talkeetna Airport,62.32,-150.095,4,14B
Homer 8 NW,59.7444,-151.6347,2,15C
Yankee Slough,63.26,-159.57,3,21E
McCarthy 3 SW,61.418,-142.9961,4,11Z
Bethel Airport,60.785,-161.8293,5,18Z
Nome Airport,64.5111,-165.44,5,22C
