"ID","Name","Region","Unit","YEAR","MONTH","START","END","TMINavg_F","TMINmin_F","TMINmax_F","TMINnull_pcnt","SNWDavg_in","SNWDmin_in","SNWDmax_in","SNWDnull_pcnt"
"USC00503672","HOMER 8 NW",2,"15C","1980","01","1980-01-01","1980-02-01",9.42,-9.94,26.06,13,24.9657107303226,20.00000064,32.99212704,0
"USC00503672","HOMER 8 NW",2,"15C","1980","02","1980-02-01","1980-03-01",23.2793103448276,12.02,33.08,0,39.5492817434483,30.00000096,47.00787552,0
"USC00503672","HOMER 8 NW",2,"15C","1980","03","1980-03-01","1980-04-01",23.1451612903226,3.92,32,0,44.1592597316129,40.00000128,49.0157496,0
"USC00503672","HOMER 8 NW",2,"15C","1980","04","1980-04-01","1980-05-01",29.888,21.92,35.06,0,39.5013136,27.99212688,50.0000016,0
"USC00503672","HOMER 8 NW",2,"15C","1980","05","1980-05-01","1980-06-01",34.6883870967742,30.02,37.94,0,5.61214140387097,0,25.9842528,0
"USC00503672","HOMER 8 NW",2,"15C","1980","06","1980-06-01","1980-07-01",41,33.98,50,0,0,0,0,0
"USC00503672","HOMER 8 NW",2,"15C","1980","07","1980-07-01","1980-08-01",45.441935483871,37.04,51.98,0,0,0,0,0
"USC00503672","HOMER 8 NW",2,"15C","1980","08","1980-08-01","1980-09-01",44.2742857142857,37.94,48.92,32,0,0,0,0
"USC00503672","HOMER 8 NW",2,"15C","1980","09","1980-09-01","1980-10-01",38.9235714285714,24.98,51.08,7,0,0,0,0
"USC00503672","HOMER 8 NW",2,"15C","1980","10","1980-10-01","1980-11-01",31.3206451612903,21.02,39.92,0,0.0647701316129032,0,2.00787408,0
"USC00503672","HOMER 8 NW",2,"15C","1980","11","1980-11-01","1980-12-01",25.328,15.08,33.08,0,4.401574944,0,7.99212624,0
"USC00503672","HOMER 8 NW",2,"15C","1980","12","1980-12-01","1981-01-01",6.95677419354838,-11.92,24.98,0,8.96875822451613,7.00787424,12.0078744,0
"USC00503672","HOMER 8 NW",2,"15C","1981","01","1981-01-01","1981-02-01",28.881935483871,19.94,35.96,0,4.80568976516129,0,17.99212656,0
"USC00503672","HOMER 8 NW",2,"15C","1981","02","1981-02-01","1981-03-01",19.7985714285714,1.94,33.98,0,12.5309340342857,10.00000032,19.01574864,0
"USC00503672","HOMER 8 NW",2,"15C","1981","03","1981-03-01","1981-04-01",27.4129032258064,19.94,33.08,0,22.6758960774194,17.99212656,27.99212688,0
"USC00503672","HOMER 8 NW",2,"15C","1981","04","1981-04-01","1981-05-01",27.494,19.04,35.06,0,13.000000416,0,20.00000064,0
"USC00503672","HOMER 8 NW",2,"15C","1981","05","1981-05-01","1981-06-01",38.12,32,48.02,0,0,0,0,0
"USC00503672","HOMER 8 NW",2,"15C","1981","06","1981-06-01","1981-07-01",40.916,33.98,46.94,0,0,0,0,0
"USC00503672","HOMER 8 NW",2,"15C","1981","07","1981-07-01","1981-08-01",46.0283870967742,39.02,51.98,0,0,0,0,0
"USC00503672","HOMER 8 NW",2,"15C","1981","08","1981-08-01","1981-09-01",46.3709677419355,37.04,51.98,0,0,0,0,0
"USC00503672","HOMER 8 NW",2,"15C","1981","09","1981-09-01","1981-10-01",39.26,26.06,48.02,0,0,0,0,0
"USC00503672","HOMER 8 NW",2,"15C","1981","10","1981-10-01","1981-11-01",30.7748387096774,19.04,39.02,0,0.805181636129032,0,10.00000032,0
"USC00503672","HOMER 8 NW",2,"15C","1981","11","1981-11-01","1981-12-01",20.876,10.04,35.06,0,4.666666816,2.00787408,10.98425232,0
"USC00503672","HOMER 8 NW",2,"15C","1981","12","1981-12-01","1982-01-01",17.0716129032258,5,33.08,0,14.3230891045161,10.98425232,24.0157488,0
"USC00503672","HOMER 8 NW",2,"15C","1982","01","1982-01-01","1982-02-01",13.1464516129032,-9.94,30.92,0,14.7358399432258,12.9921264,20.98425264,0
"USC00503672","HOMER 8 NW",2,"15C","1982","02","1982-02-01","1982-03-01",11.3257142857143,-13,37.04,0,9.35742437142857,7.99212624,17.00787456,0
"USC00503672","HOMER 8 NW",2,"15C","1982","03","1982-03-01","1982-04-01",19.6206451612903,10.04,30.02,0,10.8039119535484,7.99212624,14.01574848,0
"USC00503672","HOMER 8 NW",2,"15C","1982","04","1982-04-01","1982-05-01",23.4628571428571,8.06,32,7,6.032808592,0.984252,10.00000032,0
"USC00503672","HOMER 8 NW",2,"15C","1982","05","1982-05-01","1982-06-01",32.3832258064516,24.98,37.94,0,0.031750064516129,0,0.984252,0
"USC00503672","HOMER 8 NW",2,"15C","1982","06","1982-06-01","1982-07-01",38.9235714285714,33.98,44.06,7,0,0,0,0
"USC00503672","HOMER 8 NW",2,"15C","1982","07","1982-07-01","1982-08-01",43.3516129032258,35.96,51.08,0,0,0,0,0
"USC00503672","HOMER 8 NW",2,"15C","1982","08","1982-08-01","1982-09-01",44.1354838709677,39.02,51.08,0,0,0,0,0
"USC00503672","HOMER 8 NW",2,"15C","1982","09","1982-09-01","1982-10-01",39.392,30.02,44.96,0,0,0,0,0
"USC00503672","HOMER 8 NW",2,"15C","1982","10","1982-10-01","1982-11-01",22.4774193548387,6.08,33.98,0,0.709931442580645,0,5.00000016,0
"USC00503672","HOMER 8 NW",2,"15C","1982","11","1982-11-01","1982-12-01",23.462,6.98,35.06,0,3.036745504,0.984252,7.99212624,0
"USC00503672","HOMER 8 NW",2,"15C","1982","12","1982-12-01","1983-01-01",23.18,1.94,32,0,5.8013717883871,0,10.98425232,0
"USC00503672","HOMER 8 NW",2,"15C","1983","01","1983-01-01","1983-02-01",14.7432258064516,-14.08,33.98,0,2.32410472258065,0,5.00000016,0
"USC00503672","HOMER 8 NW",2,"15C","1983","02","1983-02-01","1983-03-01",21.5728571428571,5,33.98,0,5.56242987428571,2.00787408,7.00787424,0
"USC00503672","HOMER 8 NW",2,"15C","1983","03","1983-03-01","1983-04-01",27.7903225806452,17.96,35.06,0,1.90754387612903,0,4.01574816,0
"USC00503672","HOMER 8 NW",2,"15C","1983","04","1983-04-01","1983-05-01",28.574,19.94,37.04,0,0.199475072,0,2.00787408,0
"USC00503672","HOMER 8 NW",2,"15C","1983","05","1983-05-01","1983-06-01",36.9529032258065,30.92,44.96,0,0,0,0,0
"USC00503672","HOMER 8 NW",2,"15C","1983","06","1983-06-01","1983-07-01",41.234,30.92,46.94,0,0,0,0,0
"USC00503672","HOMER 8 NW",2,"15C","1983","07","1983-07-01","1983-08-01",45.3954838709677,39.92,50,0,0,0,0,0
"USC00503672","HOMER 8 NW",2,"15C","1983","08","1983-08-01","1983-09-01",44.6987096774194,37.04,50,0,0,0,0,0
"USC00503672","HOMER 8 NW",2,"15C","1983","09","1983-09-01","1983-10-01",36.734,21.02,44.96,0,0,0,0,0
"USC00503672","HOMER 8 NW",2,"15C","1983","10","1983-10-01","1983-11-01",29,17.96,37.94,3,0.938531907096774,0,7.00787424,0
"USC00503672","HOMER 8 NW",2,"15C","1983","11","1983-11-01","1983-12-01",26.5255172413793,17.96,33.98,3,2.898950224,0,10.00000032,0
"USC00503672","HOMER 8 NW",2,"15C","1983","12","1983-12-01","1984-01-01",23.2496774193548,8.96,32,0,2.2580645883871,0,4.01574816,0
"USC00503672","HOMER 8 NW",2,"15C","1984","01","1984-01-01","1984-02-01",18.3954838709677,-2.92,33.98,0,6.29032278193548,2.99212608,10.00000032,0
"USC00503672","HOMER 8 NW",2,"15C","1984","02","1984-02-01","1984-03-01",12.9075862068965,-2.02,26.96,0,14.2424658372414,7.99212624,20.00000064,0
"USC00503672","HOMER 8 NW",2,"15C","1984","03","1984-03-01","1984-04-01",29.4741935483871,21.02,37.94,0,3.70967753806452,0,15.00000048,0
"USC00503672","HOMER 8 NW",2,"15C","1984","04","1984-04-01","1984-05-01",25.856,14,35.06,0,1.532808448,0,7.99212624,0
"USC00503672","HOMER 8 NW",2,"15C","1984","05","1984-05-01","1984-06-01",33.8812903225806,24.98,41,0,0,0,0,94
"USC00503672","HOMER 8 NW",2,"15C","1984","06","1984-06-01","1984-07-01",41.4220689655172,35.96,46.04,3,0,0,0,0
"USC00503672","HOMER 8 NW",2,"15C","1984","07","1984-07-01","1984-08-01",45.9296774193548,39.92,50,0,0,0,0,0
"USC00503672","HOMER 8 NW",2,"15C","1984","08","1984-08-01","1984-09-01",46.112,32,53.96,3,0,0,0,0
"USC00503672","HOMER 8 NW",2,"15C","1984","09","1984-09-01","1984-10-01",41.264,30.92,55.94,0,0,0,0,0
"USC00503672","HOMER 8 NW",2,"15C","1984","10","1984-10-01","1984-11-01",30.1941935483871,21.02,42.08,0,0,0,0,0
"USC00503672","HOMER 8 NW",2,"15C","1984","11","1984-11-01","1984-12-01",21.092,8.06,33.08,0,0.4593176,0,0.984252,0
"USC00503672","HOMER 8 NW",2,"15C","1984","12","1984-12-01","1985-01-01",22.1638709677419,8.96,35.96,0,0.703581429677419,0,2.99212608,0
"USC00503672","HOMER 8 NW",2,"15C","1985","01","1985-01-01","1985-02-01",28.9109677419355,19.04,35.06,0,1.89738385548387,0,5.98425216,0
"USC00503672","HOMER 8 NW",2,"15C","1985","02","1985-02-01","1985-03-01",12.2064285714286,-0.940000000000005,32,0,4.99578193714286,0,10.00000032,0
"USC00503672","HOMER 8 NW",2,"15C","1985","03","1985-03-01","1985-04-01",20.6251612903226,8.06,26.96,0,29.8056905651613,7.99212624,45.00000144,0
"USC00503672","HOMER 8 NW",2,"15C","1985","04","1985-04-01","1985-05-01",18.494,-2.02,28.04,0,32.864830448,25.0000008,37.0078752,0
"USC00503672","HOMER 8 NW",2,"15C","1985","05","1985-05-01","1985-06-01",31.376,23,42.08,3,10.4178311690323,0,22.99212672,0
