"ID","Name","Region","Unit","YEAR","MONTH","START","END","TMINavg_F","TMINmin_F","TMINmax_F","TMINnull_pcnt","SNWDavg_in","SNWDmin_in","SNWDmax_in","SNWDnull_pcnt"
"USC00509313","TOK",3,"12Z","1980","01","1980-01-01","1980-02-01",-31.4695652173913,-68.08,10.04,26,13.4518673341935,9.01574832,15.98425248,0
"USC00509313","TOK",3,"12Z","1980","02","1980-02-01","1980-03-01",-8.38206896551724,-40,6.08,0,13.0002719337931,10.98425232,15.00000048,0
"USC00509313","TOK",3,"12Z","1980","03","1980-03-01","1980-04-01",-0.272258064516131,-25.06,21.92,0,9.73964979096774,5.98425216,10.98425232,0
"USC00509313","TOK",3,"12Z","1980","04","1980-04-01","1980-05-01",15.182,3.02,28.04,0,3.699475184,0,5.98425216,0
"USC00509313","TOK",3,"12Z","1980","05","1980-05-01","1980-06-01",24.3122580645161,17.96,32,0,0,0,0,0
"USC00509313","TOK",3,"12Z","1980","06","1980-06-01","1980-07-01",NA,NA,NA,100,NA,NA,NA,100
"USC00509313","TOK",3,"12Z","1980","07","1980-07-01","1980-08-01",44.1993548387097,30.92,53.96,0,0,0,0,0
"USC00509313","TOK",3,"12Z","1980","08","1980-08-01","1980-09-01",36.8848275862069,24.98,50,6,0,0,0,0
"USC00509313","TOK",3,"12Z","1980","09","1980-09-01","1980-10-01",28.964,19.94,39.02,0,NA,NA,NA,100
"USC00509313","TOK",3,"12Z","1980","10","1980-10-01","1980-11-01",17.3329032258065,5,30.92,0,0.0965201961290323,0,2.99212608,0
"USC00509313","TOK",3,"12Z","1980","11","1980-11-01","1980-12-01",-6.1,-18.04,12.02,0,4.48818912,2.99212608,5.98425216,0
"USC00509313","TOK",3,"12Z","1980","12","1980-12-01","1981-01-01",-49.3184615384615,-65.02,-22,16,6.61163343483871,5.98425216,7.00787424,0
"USC00509313","TOK",3,"12Z","1981","01","1981-01-01","1981-02-01",-5.82903225806452,-18.94,12.02,0,7.00787424,7.00787424,7.00787424,0
"USC00509313","TOK",3,"12Z","1981","02","1981-02-01","1981-03-01",NA,NA,NA,100,6.16704181714286,5.98425216,7.00787424,0
"USC00509313","TOK",3,"12Z","1981","03","1981-03-01","1981-04-01",0.354838709677417,-20.02,12.92,0,4.52120918709677,0,5.98425216,0
"USC00509313","TOK",3,"12Z","1981","04","1981-04-01","1981-05-01",9.002,-13,33.08,0,3.14304472,0,4.01574816,0
"USC00509313","TOK",3,"12Z","1981","05","1981-05-01","1981-06-01",32.7838709677419,24.98,51.08,0,0,0,0,0
"USC00509313","TOK",3,"12Z","1981","06","1981-06-01","1981-07-01",35.786,26.06,46.94,0,0,0,0,0
"USC00509313","TOK",3,"12Z","1981","07","1981-07-01","1981-08-01",42.5851612903226,30.02,55.04,0,0,0,0,0
"USC00509313","TOK",3,"12Z","1981","08","1981-08-01","1981-09-01",37.79,17.96,53.96,3,0,0,0,0
"USC00509313","TOK",3,"12Z","1981","09","1981-09-01","1981-10-01",23.918,15.98,35.06,0,0,0,0,70
"USC00509313","TOK",3,"12Z","1981","10","1981-10-01","1981-11-01",10.9283870967742,-9.94,26.96,0,2.94132597677419,2.00787408,5.98425216,0
"USC00509313","TOK",3,"12Z","1981","11","1981-11-01","1981-12-01",-5.962,-13,6.98,0,4.269029008,2.00787408,10.98425232,0
"USC00509313","TOK",3,"12Z","1981","12","1981-12-01","1982-01-01",-25.9425806451613,-54.94,10.94,0,10.6350016103226,10.00000032,10.98425232,0
"USC00509313","TOK",3,"12Z","1982","01","1982-01-01","1982-02-01",-43.156,-63.04,-14.98,3,11.188976736,10.98425232,12.0078744,3
"USC00509313","TOK",3,"12Z","1982","02","1982-02-01","1982-03-01",-22.4242857142857,-52.96,19.94,0,13.9271658,12.0078744,15.00000048,0
"USC00509313","TOK",3,"12Z","1982","03","1982-03-01","1982-04-01",-12.9361290322581,-36.94,19.94,0,14.0652785806452,12.9921264,15.00000048,0
"USC00509313","TOK",3,"12Z","1982","04","1982-04-01","1982-05-01",9.236,-27.94,30.92,0,9.397638096,4.01574816,15.00000048,0
"USC00509313","TOK",3,"12Z","1982","05","1982-05-01","1982-06-01",26.181935483871,17.06,33.98,0,0.678181378064516,0,4.01574816,0
"USC00509313","TOK",3,"12Z","1982","06","1982-06-01","1982-07-01",36.362,23,48.02,0,0,0,0,0
"USC00509313","TOK",3,"12Z","1982","07","1982-07-01","1982-08-01",41.6212903225806,35.06,51.08,0,0,0,0,3
