"ID","Name","Region","Unit","YEAR","MONTH","START","END","TMINavg_F","TMINmin_F","TMINmax_F","TMINnull_pcnt","SNWDavg_in","SNWDmin_in","SNWDmax_in","SNWDnull_pcnt"
"USW00026510","MCGRATH AP",3,"19D","1980","01","1980-01-01","1980-02-01",-24.4967741935484,-54.04,10.94,0,24.9987307974194,17.99212656,29.01574896,0
"USW00026510","MCGRATH AP",3,"19D","1980","02","1980-02-01","1980-03-01",1.85310344827586,-18.04,33.98,0,20.6149884413793,17.00787456,25.9842528,0
"USW00026510","MCGRATH AP",3,"19D","1980","03","1980-03-01","1980-04-01",4.61677419354838,-29.92,30.92,0,18.7757181522581,17.00787456,20.00000064,0
"USW00026510","MCGRATH AP",3,"19D","1980","04","1980-04-01","1980-05-01",23.33,8.06,30.92,0,6.661417536,0,15.00000048,0
"USW00026510","MCGRATH AP",3,"19D","1980","05","1980-05-01","1980-06-01",37.7251612903226,30.92,46.04,0,0,0,0,0
"USW00026510","MCGRATH AP",3,"19D","1980","06","1980-06-01","1980-07-01",43.658,33.98,55.94,0,0,0,0,0
"USW00026510","MCGRATH AP",3,"19D","1980","07","1980-07-01","1980-08-01",49.0303225806452,44.96,57.02,0,0,0,0,0
"USW00026510","MCGRATH AP",3,"19D","1980","08","1980-08-01","1980-09-01",43.0845161290323,33.08,50,0,0,0,0,0
"USW00026510","MCGRATH AP",3,"19D","1980","09","1980-09-01","1980-10-01",34.238,28.04,46.04,0,0,0,0,0
"USW00026510","MCGRATH AP",3,"19D","1980","10","1980-10-01","1980-11-01",23.8709677419355,6.08,30.92,0,1.09728222967742,0,4.01574816,0
"USW00026510","MCGRATH AP",3,"19D","1980","11","1980-11-01","1980-12-01",0.535999999999998,-13,19.94,0,6.398950336,2.00787408,10.00000032,0
"USW00026510","MCGRATH AP",3,"19D","1980","12","1980-12-01","1981-01-01",-33.5954838709677,-47.02,8.06,0,9.14274857806452,9.01574832,10.98425232,0
"USW00026510","MCGRATH AP",3,"19D","1981","01","1981-01-01","1981-02-01",6.04516129032258,-22,30.92,0,11.4528832722581,9.01574832,17.00787456,0
"USW00026510","MCGRATH AP",3,"19D","1981","02","1981-02-01","1981-03-01",-3.10642857142857,-43.96,21.92,0,18.2466260057143,12.0078744,25.9842528,0
"USW00026510","MCGRATH AP",3,"19D","1981","03","1981-03-01","1981-04-01",16.5838709677419,-5.98,37.04,0,15.5537216051613,10.00000032,22.00787472,0
"USW00026510","MCGRATH AP",3,"19D","1981","04","1981-04-01","1981-05-01",20.366,6.08,33.98,0,5.828084176,0,10.98425232,0
"USW00026510","MCGRATH AP",3,"19D","1981","05","1981-05-01","1981-06-01",39.3567741935484,30.02,50,0,0,0,0,0
"USW00026510","MCGRATH AP",3,"19D","1981","06","1981-06-01","1981-07-01",44.324,35.06,53.06,0,0,0,0,0
"USW00026510","MCGRATH AP",3,"19D","1981","07","1981-07-01","1981-08-01",48.92,33.08,55.94,0,0,0,0,0
"USW00026510","MCGRATH AP",3,"19D","1981","08","1981-08-01","1981-09-01",43.1774193548387,28.94,51.98,0,0,0,0,0
"USW00026510","MCGRATH AP",3,"19D","1981","09","1981-09-01","1981-10-01",32.948,26.06,48.02,0,0.165354336,0,2.99212608,0
