"ID","Name","Region","Unit","YEAR","MONTH","START","END","TMINavg_F","TMINmin_F","TMINmax_F","TMINnull_pcnt","SNWDavg_in","SNWDmin_in","SNWDmax_in","SNWDnull_pcnt"
"USW00025503","KING SALMON",4,"09C","1980","01","1980-01-01","1980-02-01",0.923870967741934,-31,35.96,0,1.22428248774194,0,5.00000016,0
"USW00025503","KING SALMON",4,"09C","1980","02","1980-02-01","1980-03-01",12.9075862068965,-11.02,39.02,0,1.75807771034483,0,9.01574832,0
"USW00025503","KING SALMON",4,"09C","1980","03","1980-03-01","1980-04-01",21.1477419354839,-7.06000000000001,35.96,0,0.803911633548387,0,4.01574816,0
"USW00025503","KING SALMON",4,"09C","1980","04","1980-04-01","1980-05-01",27.668,19.04,35.06,0,0,0,0,0
"USW00025503","KING SALMON",4,"09C","1980","05","1980-05-01","1980-06-01",34.16,24.98,39.92,0,0,0,0,0
"USW00025503","KING SALMON",4,"09C","1980","06","1980-06-01","1980-07-01",41.57,30.92,51.98,0,0,0,0,0
"USW00025503","KING SALMON",4,"09C","1980","07","1980-07-01","1980-08-01",46.9806451612903,39.02,53.96,0,0,0,0,0
"USW00025503","KING SALMON",4,"09C","1980","08","1980-08-01","1980-09-01",42.7477419354839,33.08,48.92,0,0,0,0,0
"USW00025503","KING SALMON",4,"09C","1980","09","1980-09-01","1980-10-01",39.002,24.98,55.04,0,0,0,0,0
"USW00025503","KING SALMON",4,"09C","1980","10","1980-10-01","1980-11-01",28.7716129032258,10.94,44.06,0,0,0,0,0
"USW00025503","KING SALMON",4,"09C","1980","11","1980-11-01","1980-12-01",20.162,1.94,32,0,0.0984252,0,0.984252,0
"USW00025503","KING SALMON",4,"09C","1980","12","1980-12-01","1981-01-01",-3.33225806451613,-34.96,37.94,0,4.06019825032258,0,5.98425216,0
"USW00025503","KING SALMON",4,"09C","1981","01","1981-01-01","1981-02-01",24.3529032258065,-16.06,37.94,0,1.29032262193548,0,7.00787424,0
"USW00025503","KING SALMON",4,"09C","1981","02","1981-02-01","1981-03-01",15.8578571428571,-11.92,39.02,0,1.03627674857143,0,10.00000032,0
