"ID","Name","Region","Unit","YEAR","MONTH","START","END","TMINavg_F","TMINmin_F","TMINmax_F","TMINnull_pcnt","SNWDavg_in","SNWDmin_in","SNWDmax_in","SNWDnull_pcnt"
"USC00503304","GLENNALLEN KCAM",4,"13A","1980","01","1980-01-01","1980-02-01",-18.4232258064516,-50.98,35.96,0,17.777496123871,15.00000048,25.0000008,0
"USC00503304","GLENNALLEN KCAM",4,"13A","1980","02","1980-02-01","1980-03-01",2.85862068965517,-23.08,33.98,0,22.8501132171429,20.00000064,30.00000096,3
"USC00503304","GLENNALLEN KCAM",4,"13A","1980","03","1980-03-01","1980-04-01",6.90451612903226,-25.06,32,0,18.5458476851613,9.01574832,22.00787472,0
"USC00503304","GLENNALLEN KCAM",4,"13A","1980","04","1980-04-01","1980-05-01",23.378,8.96,37.94,0,3.931758656,0,9.01574832,0
"USC00503304","GLENNALLEN KCAM",4,"13A","1980","05","1980-05-01","1980-06-01",31.1754838709677,17.06,44.96,0,0,0,0,0
"USC00503304","GLENNALLEN KCAM",4,"13A","1980","06","1980-06-01","1980-07-01",40.526,26.06,57.92,0,0,0,0,0
"USC00503304","GLENNALLEN KCAM",4,"13A","1980","07","1980-07-01","1980-08-01",43.578064516129,28.04,53.96,0,0,0,0,0
"USC00503304","GLENNALLEN KCAM",4,"13A","1980","08","1980-08-01","1980-09-01",38.3116129032258,23,53.96,0,0,0,0,0
"USC00503304","GLENNALLEN KCAM",4,"13A","1980","09","1980-09-01","1980-10-01",29.066,15.98,51.08,0,0,0,0,0
"USC00503304","GLENNALLEN KCAM",4,"13A","1980","10","1980-10-01","1980-11-01",21.2929032258065,-0.0399999999999991,39.92,0,0.934721899354839,0,5.00000016,0
"USC00503304","GLENNALLEN KCAM",4,"13A","1980","11","1980-11-01","1980-12-01",4.544,-16.96,21.02,0,1.39879578352941,0.984252,2.99212608,43
"USC00503304","GLENNALLEN KCAM",4,"13A","1980","12","1980-12-01","1981-01-01",-37.718064516129,-56.02,1.94,0,12.9921264,12.9921264,12.9921264,97
"USC00503304","GLENNALLEN KCAM",4,"13A","1981","01","1981-01-01","1981-02-01",9.42451612903226,-5.08000000000001,30.92,0,13.7769879948387,12.0078744,15.00000048,0
"USC00503304","GLENNALLEN KCAM",4,"13A","1981","02","1981-02-01","1981-03-01",3.56642857142857,-31,30.92,0,13.4350398,12.0078744,15.00000048,0
"USC00503304","GLENNALLEN KCAM",4,"13A","1981","03","1981-03-01","1981-04-01",12.3509677419355,-9.94,35.06,0,9.09575848258065,4.01574816,12.9921264,0
"USC00503304","GLENNALLEN KCAM",4,"13A","1981","04","1981-04-01","1981-05-01",11.246,-5.98,32,0,1.265091904,0,5.00000016,0
"USC00503304","GLENNALLEN KCAM",4,"13A","1981","05","1981-05-01","1981-06-01",33.3064516129032,24.98,46.04,0,0,0,0,0
"USC00503304","GLENNALLEN KCAM",4,"13A","1981","06","1981-06-01","1981-07-01",37.664,24.98,50,0,0,0,0,0
"USC00503304","GLENNALLEN KCAM",4,"13A","1981","07","1981-07-01","1981-08-01",45.32,33.98,53.06,0,0,0,0,0
"USC00503304","GLENNALLEN KCAM",4,"13A","1981","08","1981-08-01","1981-09-01",NA,NA,NA,100,NA,NA,NA,100
"USC00503304","GLENNALLEN KCAM",4,"13A","1981","09","1981-09-01","1981-10-01",27.992,5,42.08,0,0.099737536,0,2.00787408,0
"USC00503304","GLENNALLEN KCAM",4,"13A","1981","10","1981-10-01","1981-11-01",21.078064516129,5,35.06,0,0.612141243870968,0,2.00787408,0
