"ID","Name","Region","Unit","YEAR","MONTH","START","END","TMINavg_F","TMINmin_F","TMINmax_F","TMINnull_pcnt","SNWDavg_in","SNWDmin_in","SNWDmax_in","SNWDnull_pcnt"
"USW00026528","TALKEETNA AP",4,"14B","1980","01","1980-01-01","1980-02-01",-1.92709677419355,-29.02,26.06,0,24.9695207380645,17.99212656,29.01574896,0
"USW00026528","TALKEETNA AP",4,"14B","1980","02","1980-02-01","1980-03-01",14.36,-9.04,32,0,29.4406743062069,25.9842528,37.0078752,0
"USW00026528","TALKEETNA AP",4,"14B","1980","03","1980-03-01","1980-04-01",12.8851612903226,-16.06,30.92,0,28.4188477470968,25.9842528,32.00787504,0
"USW00026528","TALKEETNA AP",4,"14B","1980","04","1980-04-01","1980-05-01",26.63,15.08,33.08,0,9.53412104,0,24.0157488,0
"USW00026528","TALKEETNA AP",4,"14B","1980","05","1980-05-01","1980-06-01",35.6116129032258,26.06,44.06,0,0,0,0,0
"USW00026528","TALKEETNA AP",4,"14B","1980","06","1980-06-01","1980-07-01",46.04,39.92,55.04,0,0,0,0,0
"USW00026528","TALKEETNA AP",4,"14B","1980","07","1980-07-01","1980-08-01",50.3716129032258,42.08,55.04,0,0,0,0,0
"USW00026528","TALKEETNA AP",4,"14B","1980","08","1980-08-01","1980-09-01",44.7625806451613,35.06,53.06,0,0,0,0,0
"USW00026528","TALKEETNA AP",4,"14B","1980","09","1980-09-01","1980-10-01",35.342,24.08,48.02,0,0,0,0,0
"USW00026528","TALKEETNA AP",4,"14B","1980","10","1980-10-01","1980-11-01",28.9922580645161,8.96,37.94,0,0.193040392258065,0,2.00787408,0
"USW00026528","TALKEETNA AP",4,"14B","1980","11","1980-11-01","1980-12-01",18.8,-2.92,30.92,0,4.769029024,0,10.00000032,0
"USW00026528","TALKEETNA AP",4,"14B","1980","12","1980-12-01","1981-01-01",-12.5354838709677,-36.94,28.04,0,7.08915440516129,5.98425216,10.98425232,0
"USW00026528","TALKEETNA AP",4,"14B","1981","01","1981-01-01","1981-02-01",22.8025806451613,3.92,33.08,0,13.8023880464516,10.98425232,17.00787456,0
"USW00026528","TALKEETNA AP",4,"14B","1981","02","1981-02-01","1981-03-01",13.8071428571429,-23.08,32,0,19.32086676,15.98425248,25.9842528,0
"USW00026528","TALKEETNA AP",4,"14B","1981","03","1981-03-01","1981-04-01",20.7761290322581,6.98,35.06,0,19.9657105703226,14.01574848,25.9842528,0
"USW00026528","TALKEETNA AP",4,"14B","1981","04","1981-04-01","1981-05-01",18.764,6.98,30.02,0,9.13385856,0,15.98425248,0
"USW00026528","TALKEETNA AP",4,"14B","1981","05","1981-05-01","1981-06-01",37.3941935483871,28.04,48.92,0,0,0,0,0
"USW00026528","TALKEETNA AP",4,"14B","1981","06","1981-06-01","1981-07-01",43.364,32,51.98,0,0,0,0,0
"USW00026528","TALKEETNA AP",4,"14B","1981","07","1981-07-01","1981-08-01",49.3264516129032,35.96,55.94,0,0,0,0,0
"USW00026528","TALKEETNA AP",4,"14B","1981","08","1981-08-01","1981-09-01",46.1270967741935,33.98,53.06,0,0,0,0,0
"USW00026528","TALKEETNA AP",4,"14B","1981","09","1981-09-01","1981-10-01",35.606,19.94,48.02,0,0,0,0,0
"USW00026528","TALKEETNA AP",4,"14B","1981","10","1981-10-01","1981-11-01",26.901935483871,10.94,37.94,0,0.0635001290322581,0,0.984252,0
"USW00026528","TALKEETNA AP",4,"14B","1981","11","1981-11-01","1981-12-01",12.074,-14.08,32,0,3.629921376,0,17.00787456,0
"USW00026528","TALKEETNA AP",4,"14B","1981","12","1981-12-01","1982-01-01",2.54967741935484,-29.92,28.94,0,13.3540771354839,9.01574832,17.99212656,0
"USW00026528","TALKEETNA AP",4,"14B","1982","01","1982-01-01","1982-02-01",-8.20967741935484,-29.92,21.92,0,9.01574832,9.01574832,9.01574832,0
"USW00026528","TALKEETNA AP",4,"14B","1982","02","1982-02-01","1982-03-01",5.84857142857143,-23.08,35.96,0,6.24015768,5.00000016,10.00000032,0
"USW00026528","TALKEETNA AP",4,"14B","1982","03","1982-03-01","1982-04-01",14.3251612903226,-9.04,32,0,10.2590808464516,4.01574816,17.99212656,0
"USW00026528","TALKEETNA AP",4,"14B","1982","04","1982-04-01","1982-05-01",22.43,1.94,37.94,0,4.532808544,0,9.01574832,0
"USW00026528","TALKEETNA AP",4,"14B","1982","05","1982-05-01","1982-06-01",33.1206451612903,21.92,42.08,0,0,0,0,0
"USW00026528","TALKEETNA AP",4,"14B","1982","06","1982-06-01","1982-07-01",43.676,33.08,51.08,0,0,0,0,0
"USW00026528","TALKEETNA AP",4,"14B","1982","07","1982-07-01","1982-08-01",47.9038709677419,39.92,53.06,0,0,0,0,0
"USW00026528","TALKEETNA AP",4,"14B","1982","08","1982-08-01","1982-09-01",45.6625806451613,39.02,53.96,0,0,0,0,0
"USW00026528","TALKEETNA AP",4,"14B","1982","09","1982-09-01","1982-10-01",39.428,26.06,46.94,0,0,0,0,0
"USW00026528","TALKEETNA AP",4,"14B","1982","10","1982-10-01","1982-11-01",15.0393548387097,-16.06,35.06,0,7.22250467612903,0,15.98425248,0
"USW00026528","TALKEETNA AP",4,"14B","1982","11","1982-11-01","1982-12-01",9.326,-25.06,28.94,0,19.13385888,14.01574848,27.99212688,0
"USW00026528","TALKEETNA AP",4,"14B","1982","12","1982-12-01","1983-01-01",12.38,-18.94,32,0,25.23622128,22.99212672,29.01574896,0
"USW00026528","TALKEETNA AP",4,"14B","1983","01","1983-01-01","1983-02-01",4.15806451612903,-29.92,26.96,0,27.1602751896774,22.99212672,32.00787504,0
"USW00026528","TALKEETNA AP",4,"14B","1983","02","1983-02-01","1983-03-01",8.13714285714286,-23.08,28.04,0,29.6414520171429,27.00787488,32.00787504,0
"USW00026528","TALKEETNA AP",4,"14B","1983","03","1983-03-01","1983-04-01",12.6761290322581,-9.94,24.98,0,23.6817381212903,17.00787456,30.00000096,0
"USW00026528","TALKEETNA AP",4,"14B","1983","04","1983-04-01","1983-05-01",26.456,14,35.06,0,13.797900704,0.984252,20.98425264,0
"USW00026528","TALKEETNA AP",4,"14B","1983","05","1983-05-01","1983-06-01",37.4232258064516,26.96,50,0,0,0,0,0
"USW00026528","TALKEETNA AP",4,"14B","1983","06","1983-06-01","1983-07-01",45.806,37.94,53.06,0,0,0,0,0
"USW00026528","TALKEETNA AP",4,"14B","1983","07","1983-07-01","1983-08-01",49.7154838709677,41,53.96,0,0,0,0,0
"USW00026528","TALKEETNA AP",4,"14B","1983","08","1983-08-01","1983-09-01",43.4967741935484,30.02,53.96,0,0,0,0,0
"USW00026528","TALKEETNA AP",4,"14B","1983","09","1983-09-01","1983-10-01",32.942,17.06,44.06,0,0,0,0,0
"USW00026528","TALKEETNA AP",4,"14B","1983","10","1983-10-01","1983-11-01",23.9,3.92,39.02,0,2.42062491870968,0,10.98425232,0
"USW00026528","TALKEETNA AP",4,"14B","1983","11","1983-11-01","1983-12-01",15.338,-4,32,0,8.400262736,7.00787424,10.00000032,0
"USW00026528","TALKEETNA AP",4,"14B","1983","12","1983-12-01","1984-01-01",6.42838709677419,-14.98,35.06,0,10.0698504619355,7.00787424,12.0078744,0
"USW00026528","TALKEETNA AP",4,"14B","1984","01","1984-01-01","1984-02-01",0.662580645161287,-38.02,32,0,18.3947173780645,9.01574832,27.99212688,0
"USW00026528","TALKEETNA AP",4,"14B","1984","02","1984-02-01","1984-03-01",5.28551724137931,-29.92,21.92,0,33.4482769324138,27.00787488,37.0078752,0
"USW00026528","TALKEETNA AP",4,"14B","1984","03","1984-03-01","1984-04-01",23.4006451612903,6.08,33.98,0,15.6769118554839,10.00000032,32.00787504,0
"USW00026528","TALKEETNA AP",4,"14B","1984","04","1984-04-01","1984-05-01",25.298,14,35.06,0,5.135170768,0,12.0078744,0
"USW00026528","TALKEETNA AP",4,"14B","1984","05","1984-05-01","1984-06-01",33.2193548387097,24.98,48.02,0,0,0,0,0
"USW00026528","TALKEETNA AP",4,"14B","1984","06","1984-06-01","1984-07-01",44.732,35.06,53.06,0,0,0,0,0
"USW00026528","TALKEETNA AP",4,"14B","1984","07","1984-07-01","1984-08-01",50.6096774193548,41,55.04,0,0,0,0,0
"USW00026528","TALKEETNA AP",4,"14B","1984","08","1984-08-01","1984-09-01",45.8774193548387,28.94,59,0,0,0,0,0
"USW00026528","TALKEETNA AP",4,"14B","1984","09","1984-09-01","1984-10-01",36.776,24.08,44.96,0,0,0,0,0
"USW00026528","TALKEETNA AP",4,"14B","1984","10","1984-10-01","1984-11-01",24.3064516129032,8.06,39.02,0,0.031750064516129,0,0.984252,0
"USW00026528","TALKEETNA AP",4,"14B","1984","11","1984-11-01","1984-12-01",9.308,-7.96000000000001,30.02,0,1.503937056,0,5.00000016,0
"USW00026528","TALKEETNA AP",4,"14B","1984","12","1984-12-01","1985-01-01",6.8058064516129,-16.06,32,0,11.478283323871,2.99212608,42.99212736,0
"USW00026528","TALKEETNA AP",4,"14B","1985","01","1985-01-01","1985-02-01",22.1522580645161,-0.0399999999999991,33.08,0,22.9654566658065,20.00000064,40.00000128,0
"USW00026528","TALKEETNA AP",4,"14B","1985","02","1985-02-01","1985-03-01",-4.10928571428572,-29.92,28.04,0,28.7865588514286,20.98425264,47.00787552,0
"USW00026528","TALKEETNA AP",4,"14B","1985","03","1985-03-01","1985-04-01",10.58,-16.96,26.96,0,51.9685056,42.99212736,62.007876,0
"USW00026528","TALKEETNA AP",4,"14B","1985","04","1985-04-01","1985-05-01",11.534,-16.06,30.92,0,38.86483064,30.00000096,45.98425344,0
"USW00026528","TALKEETNA AP",4,"14B","1985","05","1985-05-01","1985-06-01",31.9303225806452,21.92,42.98,0,10.1612906477419,0,30.00000096,0
"USW00026528","TALKEETNA AP",4,"14B","1985","06","1985-06-01","1985-07-01",43.406,30.02,57.92,0,0,0,0,0
"USW00026528","TALKEETNA AP",4,"14B","1985","07","1985-07-01","1985-08-01",50.5167741935484,42.98,55.04,0,0,0,0,0
"USW00026528","TALKEETNA AP",4,"14B","1985","08","1985-08-01","1985-09-01",45.7903225806452,35.96,53.06,0,0,0,0,0
"USW00026528","TALKEETNA AP",4,"14B","1985","09","1985-09-01","1985-10-01",37.55,26.96,48.92,0,0,0,0,0
