"ID","Name","Region","Unit","YEAR","MONTH","START","END","TMINavg_F","TMINmin_F","TMINmax_F","TMINnull_pcnt","SNWDavg_in","SNWDmin_in","SNWDmax_in","SNWDnull_pcnt"
"USW00026514","SKWENTNA",4,"16B","1980","01","1980-01-01","1980-02-01",-5.51363636363637,-27.04,28.94,29,33.54166774,25.9842528,42.00787536,23
"USW00026514","SKWENTNA",4,"16B","1980","02","1980-02-01","1980-03-01",12.5530769230769,-11.02,33.08,10,46.5543905244445,40.00000128,55.00000176,7
"USW00026514","SKWENTNA",4,"16B","1980","03","1980-03-01","1980-04-01",11.6227586206897,-13,33.08,6,47.0323121213793,40.00000128,52.00787568,6
"USW00026514","SKWENTNA",4,"16B","1980","04","1980-04-01","1980-05-01",27.18,12.02,35.06,10,25.2416516358621,0,42.99212736,3
"USW00026514","SKWENTNA",4,"16B","1980","05","1980-05-01","1980-06-01",36.611724137931,26.96,42.08,6,0,0,0,0
"USW00026514","SKWENTNA",4,"16B","1980","06","1980-06-01","1980-07-01",44.852,37.94,51.08,0,0,0,0,0
"USW00026514","SKWENTNA",4,"16B","1980","07","1980-07-01","1980-08-01",47.66,41,53.06,6,0,0,0,0
"USW00026514","SKWENTNA",4,"16B","1980","08","1980-08-01","1980-09-01",43.8565217391304,33.08,53.96,26,0,0,0,0
"USW00026514","SKWENTNA",4,"16B","1980","09","1980-09-01","1980-10-01",36.062,24.98,46.94,0,0,0,0,0
"USW00026514","SKWENTNA",4,"16B","1980","10","1980-10-01","1980-11-01",29.636,15.08,39.92,3,0,0,0,0
"USW00026514","SKWENTNA",4,"16B","1980","11","1980-11-01","1980-12-01",18.6414285714286,1.04,30.02,7,2.766404288,0,5.98425216,0
"USW00026514","SKWENTNA",4,"16B","1980","12","1980-12-01","1981-01-01",-19.5172413793103,-50.08,15.08,6,4.32562878967742,2.99212608,17.00787456,0
"USW00026514","SKWENTNA",4,"16B","1981","01","1981-01-01","1981-02-01",23.8292857142857,12.92,33.08,10,12.5745223371429,5.98425216,17.99212656,10
"USW00026514","SKWENTNA",4,"16B","1981","02","1981-02-01","1981-03-01",11.855652173913,-31,32,18,22.33267788,17.00787456,30.98425296,14
"USW00026514","SKWENTNA",4,"16B","1981","03","1981-03-01","1981-04-01",22.3892857142857,6.98,33.98,10,25.5371211771429,20.00000064,30.00000096,10
"USW00026514","SKWENTNA",4,"16B","1981","04","1981-04-01","1981-05-01",19.6325,5,30.02,20,14.6910967753846,0,20.98425264,13
"USW00026514","SKWENTNA",4,"16B","1981","05","1981-05-01","1981-06-01",37.2135714285714,28.94,48.92,10,0,0,0,0
"USW00026514","SKWENTNA",4,"16B","1981","06","1981-06-01","1981-07-01",42.3666666666667,35.06,48.92,10,0,0,0,0
"USW00026514","SKWENTNA",4,"16B","1981","07","1981-07-01","1981-08-01",41.99,33.98,50,81,0,0,0,0
"USW00026514","SKWENTNA",4,"16B","1981","08","1981-08-01","1981-09-01",43.394,39.92,46.94,68,0,0,0,0
"USW00026514","SKWENTNA",4,"16B","1981","09","1981-09-01","1981-10-01",34.154,15.08,46.94,0,0,0,0,0
"USW00026514","SKWENTNA",4,"16B","1981","10","1981-10-01","1981-11-01",25.9670967741935,5,35.96,0,0,0,0,0
"USW00026514","SKWENTNA",4,"16B","1981","11","1981-11-01","1981-12-01",7.16,-13,24.98,0,3.493438432,0,10.98425232,0
"USW00026514","SKWENTNA",4,"16B","1981","12","1981-12-01","1982-01-01",-2.02,-34.96,26.06,0,18.8303282632258,12.9921264,22.99212672,0
"USW00026514","SKWENTNA",4,"16B","1982","01","1982-01-01","1982-02-01",-13.4238709677419,-34.96,19.94,0,18.5712477367742,15.98425248,20.98425264,0
"USW00026514","SKWENTNA",4,"16B","1982","02","1982-02-01","1982-03-01",1.445,-27.94,33.08,0,18.6051749485714,15.98425248,24.0157488,0
"USW00026514","SKWENTNA",4,"16B","1982","03","1982-03-01","1982-04-01",7.09032258064516,-20.02,30.02,0,16.6167137651613,14.01574848,22.00787472,0
"USW00026514","SKWENTNA",4,"16B","1982","04","1982-04-01","1982-05-01",16.514,-7.06000000000001,33.98,0,9.301837568,0,14.01574848,0
"USW00026514","SKWENTNA",4,"16B","1982","05","1982-05-01","1982-06-01",28.458064516129,10.04,39.92,0,0,0,0,0
"USW00026514","SKWENTNA",4,"16B","1982","06","1982-06-01","1982-07-01",41.576,30.92,50,0,0,0,0,0
"USW00026514","SKWENTNA",4,"16B","1982","07","1982-07-01","1982-08-01",45.7845161290323,33.08,59,0,0,0,0,0
