"ID","Name","Region","Unit","YEAR","MONTH","START","END","TMINavg_F","TMINmin_F","TMINmax_F","TMINnull_pcnt","SNWDavg_in","SNWDmin_in","SNWDmax_in","SNWDnull_pcnt"
"USW00026615","BETHEL AP",5,"18Z","1980","01","1980-01-01","1980-02-01",-8.11677419354839,-40,28.04,0,13.1686567587097,9.01574832,15.98425248,0
"USW00026615","BETHEL AP",5,"18Z","1980","02","1980-02-01","1980-03-01",5.54,-16.06,30.02,0,9.17594381793104,7.00787424,12.9921264,0
"USW00026615","BETHEL AP",5,"18Z","1980","03","1980-03-01","1980-04-01",14.0290322580645,-20.02,30.92,0,9.89967011612903,5.00000016,12.9921264,0
"USW00026615","BETHEL AP",5,"18Z","1980","04","1980-04-01","1980-05-01",21.962,8.96,32,0,0.76771656,0,4.01574816,0
"USW00026615","BETHEL AP",5,"18Z","1980","05","1980-05-01","1980-06-01",34.0148387096774,26.06,41,0,0,0,0,0
"USW00026615","BETHEL AP",5,"18Z","1980","06","1980-06-01","1980-07-01",40.724,33.98,44.96,0,0,0,0,0
"USW00026615","BETHEL AP",5,"18Z","1980","07","1980-07-01","1980-08-01",48.1303225806452,42.08,55.94,0,0,0,0,0
"USW00026615","BETHEL AP",5,"18Z","1980","08","1980-08-01","1980-09-01",43.9729032258065,37.04,50,0,0,0,0,0
"USW00026615","BETHEL AP",5,"18Z","1980","09","1980-09-01","1980-10-01",37.478,30.92,46.04,0,0,0,0,0
"USW00026615","BETHEL AP",5,"18Z","1980","10","1980-10-01","1980-11-01",26.3096774193548,15.98,35.96,0,0.612141243870968,0,2.99212608,0
"USW00026615","BETHEL AP",5,"18Z","1980","11","1980-11-01","1980-12-01",14.006,5,24.08,0,2.901574896,2.00787408,4.01574816,0
"USW00026615","BETHEL AP",5,"18Z","1980","12","1980-12-01","1981-01-01",-5.30645161290323,-22,32,0,3.68046747870968,2.99212608,5.00000016,0
"USW00026615","BETHEL AP",5,"18Z","1981","01","1981-01-01","1981-02-01",14.9406451612903,-14.08,30.02,0,5.16002048516129,2.00787408,10.00000032,0
"USW00026615","BETHEL AP",5,"18Z","1981","02","1981-02-01","1981-03-01",5.75857142857143,-20.92,33.98,0,4.02840282857143,2.00787408,7.99212624,0
"USW00026615","BETHEL AP",5,"18Z","1981","03","1981-03-01","1981-04-01",23.1741935483871,8.96,33.98,0,2.12344431483871,0.984252,2.99212608,0
"USW00026615","BETHEL AP",5,"18Z","1981","04","1981-04-01","1981-05-01",25.1,14,35.06,0,0.73490816,0,2.99212608,0
"USW00026615","BETHEL AP",5,"18Z","1981","05","1981-05-01","1981-06-01",38.2535483870968,26.96,51.98,0,0.0635001290322581,0,0.984252,0
"USW00026615","BETHEL AP",5,"18Z","1981","06","1981-06-01","1981-07-01",44.006,35.96,51.08,0,0,0,0,0
"USW00026615","BETHEL AP",5,"18Z","1981","07","1981-07-01","1981-08-01",48.8038709677419,37.94,55.04,0,0,0,0,0
"USW00026615","BETHEL AP",5,"18Z","1981","08","1981-08-01","1981-09-01",46.341935483871,33.98,55.04,0,0,0,0,0
"USW00026615","BETHEL AP",5,"18Z","1981","09","1981-09-01","1981-10-01",37.544,26.06,51.98,0,0,0,0,0
"USW00026615","BETHEL AP",5,"18Z","1981","10","1981-10-01","1981-11-01",27.3432258064516,12.92,41,0,0,0,0,0
