"ID","Name","Region","Unit","YEAR","MONTH","START","END","TMINavg_F","TMINmin_F","TMINmax_F","TMINnull_pcnt","SNWDavg_in","SNWDmin_in","SNWDmax_in","SNWDnull_pcnt"
"USW00026617","NOME MUNI AP",5,"22C","1980","01","1980-01-01","1980-02-01",-8.19806451612904,-34.96,23,0,16.4160533574194,10.00000032,25.9842528,0
"USW00026617","NOME MUNI AP",5,"22C","1980","02","1980-02-01","1980-03-01",4.6151724137931,-18.94,33.98,0,13.3763240772414,10.00000032,20.98425264,0
"USW00026617","NOME MUNI AP",5,"22C","1980","03","1980-03-01","1980-04-01",11.2593548387097,-22,30.92,0,10.5816615019355,9.01574832,12.0078744,0
"USW00026617","NOME MUNI AP",5,"22C","1980","04","1980-04-01","1980-05-01",16.184,-2.92,33.98,0,4.994750816,0,9.01574832,0
"USW00026617","NOME MUNI AP",5,"22C","1980","05","1980-05-01","1980-06-01",36.4245161290323,21.92,44.96,0,0,0,0,0
"USW00026617","NOME MUNI AP",5,"22C","1980","06","1980-06-01","1980-07-01",39.254,30.92,44.96,0,0,0,0,0
"USW00026617","NOME MUNI AP",5,"22C","1980","07","1980-07-01","1980-08-01",47.178064516129,42.08,53.96,0,0,0,0,0
"USW00026617","NOME MUNI AP",5,"22C","1980","08","1980-08-01","1980-09-01",42.9916129032258,30.02,51.98,0,0,0,0,0
"USW00026617","NOME MUNI AP",5,"22C","1980","09","1980-09-01","1980-10-01",35.462,26.06,50,0,0,0,0,0
"USW00026617","NOME MUNI AP",5,"22C","1980","10","1980-10-01","1980-11-01",26.2283870967742,12.02,39.92,0,0.0635001290322581,0,0.984252,0
"USW00026617","NOME MUNI AP",5,"22C","1980","11","1980-11-01","1980-12-01",11.96,-7.06000000000001,26.96,0,2.837270432,0.984252,7.00787424,0
"USW00026617","NOME MUNI AP",5,"22C","1980","12","1980-12-01","1981-01-01",-7.90774193548387,-27.94,24.98,0,5.28702074322581,5.00000016,7.00787424,0
"USW00026617","NOME MUNI AP",5,"22C","1981","01","1981-01-01","1981-02-01",12.0664516129032,-23.08,26.06,0,8.70459768774194,5.98425216,14.01574848,0
"USW00026617","NOME MUNI AP",5,"22C","1981","02","1981-02-01","1981-03-01",-0.297142857142859,-29.02,30.92,0,6.78571450285714,5.00000016,10.98425232,0
"USW00026617","NOME MUNI AP",5,"22C","1981","03","1981-03-01","1981-04-01",16.3225806451613,-5.08000000000001,30.92,0,5.83566185806452,2.99212608,10.00000032,0
"USW00026617","NOME MUNI AP",5,"22C","1981","04","1981-04-01","1981-05-01",17.504,-4,32,0,4.0354332,2.00787408,7.00787424,0
"USW00026617","NOME MUNI AP",5,"22C","1981","05","1981-05-01","1981-06-01",34.7058064516129,23,51.98,0,0.999492030967742,0,5.98425216,0
"USW00026617","NOME MUNI AP",5,"22C","1981","06","1981-06-01","1981-07-01",42.2,33.08,50,0,0,0,0,0
"USW00026617","NOME MUNI AP",5,"22C","1981","07","1981-07-01","1981-08-01",44.9309677419355,35.96,57.02,0,0,0,0,0
"USW00026617","NOME MUNI AP",5,"22C","1981","08","1981-08-01","1981-09-01",43.7406451612903,30.02,57.02,0,0,0,0,0
"USW00026617","NOME MUNI AP",5,"22C","1981","09","1981-09-01","1981-10-01",33.638,19.04,50,0,0.0328084,0,0.984252,0
"USW00026617","NOME MUNI AP",5,"22C","1981","10","1981-10-01","1981-11-01",22.9535483870968,8.06,39.92,0,0.0952501935483871,0,0.984252,0
"USW00026617","NOME MUNI AP",5,"22C","1981","11","1981-11-01","1981-12-01",8.558,-9.94,26.96,0,1.060367488,0,5.00000016,0
"USW00026617","NOME MUNI AP",5,"22C","1981","12","1981-12-01","1982-01-01",-1.45677419354839,-20.92,19.94,0,8.74904777806452,4.01574816,12.0078744,0
"USW00026617","NOME MUNI AP",5,"22C","1982","01","1982-01-01","1982-02-01",3.86774193548387,-23.08,24.98,0,9.48818928,7.00787424,14.01574848,0
"USW00026617","NOME MUNI AP",5,"22C","1982","02","1982-02-01","1982-03-01",5.25071428571428,-22,32,0,3.53065253142857,2.99212608,7.99212624,0
"USW00026617","NOME MUNI AP",5,"22C","1982","03","1982-03-01","1982-04-01",0.854193548387095,-23.98,30.02,0,5.96647212387097,2.99212608,9.01574832,0
"USW00026617","NOME MUNI AP",5,"22C","1982","04","1982-04-01","1982-05-01",2.768,-16.06,33.08,0,7.27034144,5.98425216,9.01574832,0
"USW00026617","NOME MUNI AP",5,"22C","1982","05","1982-05-01","1982-06-01",27.9006451612903,-5.98,37.94,0,1.70815347096774,0,7.99212624,0
"USW00026617","NOME MUNI AP",5,"22C","1982","06","1982-06-01","1982-07-01",41.504,33.08,57.92,0,0.0328084,0,0.984252,0
"USW00026617","NOME MUNI AP",5,"22C","1982","07","1982-07-01","1982-08-01",48.5251612903226,39.02,55.94,0,0,0,0,0
"USW00026617","NOME MUNI AP",5,"22C","1982","08","1982-08-01","1982-09-01",45.5058064516129,37.94,53.96,0,0,0,0,0
"USW00026617","NOME MUNI AP",5,"22C","1982","09","1982-09-01","1982-10-01",39.662,30.02,50,0,0,0,0,0
"USW00026617","NOME MUNI AP",5,"22C","1982","10","1982-10-01","1982-11-01",17.9077419354839,-2.92,35.06,0,0.839471705806452,0,4.01574816,0
"USW00026617","NOME MUNI AP",5,"22C","1982","11","1982-11-01","1982-12-01",13.766,-18.04,33.98,0,7.300525168,2.00787408,14.01574848,0
"USW00026617","NOME MUNI AP",5,"22C","1982","12","1982-12-01","1983-01-01",5.41225806451613,-22,28.94,0,9.45643921548387,7.00787424,12.9921264,0
"USW00026617","NOME MUNI AP",5,"22C","1983","01","1983-01-01","1983-02-01",-8.08774193548387,-32.08,28.94,0,8.74777777548387,7.00787424,12.9921264,0
"USW00026617","NOME MUNI AP",5,"22C","1983","02","1983-02-01","1983-03-01",2.3,-22,24.08,0,6.09392595428571,5.98425216,7.00787424,0
"USW00026617","NOME MUNI AP",5,"22C","1983","03","1983-03-01","1983-04-01",8.45483870967742,-18.04,28.94,0,5.60579139096774,4.01574816,7.00787424,0
"USW00026617","NOME MUNI AP",5,"22C","1983","04","1983-04-01","1983-05-01",18.098,-5.08000000000001,33.98,0,4.635170752,2.99212608,7.00787424,0
"USW00026617","NOME MUNI AP",5,"22C","1983","05","1983-05-01","1983-06-01",35.9077419354839,24.08,46.04,0,0.452120918709677,0,2.99212608,0
"USW00026617","NOME MUNI AP",5,"22C","1983","06","1983-06-01","1983-07-01",40.412,32,53.06,0,0,0,0,0
"USW00026617","NOME MUNI AP",5,"22C","1983","07","1983-07-01","1983-08-01",48.7167741935484,37.04,55.94,0,0,0,0,0
"USW00026617","NOME MUNI AP",5,"22C","1983","08","1983-08-01","1983-09-01",41.0058064516129,28.94,51.08,0,0,0,0,0
"USW00026617","NOME MUNI AP",5,"22C","1983","09","1983-09-01","1983-10-01",33.656,17.96,48.02,0,0,0,0,0
"USW00026617","NOME MUNI AP",5,"22C","1983","10","1983-10-01","1983-11-01",20.7470967741935,-0.0399999999999991,42.98,0,0,0,0,0
"USW00026617","NOME MUNI AP",5,"22C","1983","11","1983-11-01","1983-12-01",15.938,1.94,37.04,0,4.132546064,0,9.01574832,0
"USW00026617","NOME MUNI AP",5,"22C","1983","12","1983-12-01","1984-01-01",15.4458064516129,-13,33.98,0,1.99771405935484,0,5.00000016,0
"USW00026617","NOME MUNI AP",5,"22C","1984","01","1984-01-01","1984-02-01",-6.81612903225807,-32.98,24.08,0,5.76962172387097,2.99212608,7.99212624,0
"USW00026617","NOME MUNI AP",5,"22C","1984","02","1984-02-01","1984-03-01",-23.1358620689655,-38.92,-0.940000000000005,0,4.01574816,4.01574816,4.01574816,0
"USW00026617","NOME MUNI AP",5,"22C","1984","03","1984-03-01","1984-04-01",10.0690322580645,-14.08,33.98,0,3.12928635870968,2.00787408,5.00000016,0
"USW00026617","NOME MUNI AP",5,"22C","1984","04","1984-04-01","1984-05-01",4.46,-18.04,26.06,0,1.792650976,0.984252,5.98425216,0
"USW00026617","NOME MUNI AP",5,"22C","1984","05","1984-05-01","1984-06-01",24.3064516129032,-4,41,0,2.44856497548387,0,7.00787424,0
"USW00026617","NOME MUNI AP",5,"22C","1984","06","1984-06-01","1984-07-01",41.402,28.94,53.06,0,0,0,0,0
"USW00026617","NOME MUNI AP",5,"22C","1984","07","1984-07-01","1984-08-01",45.9645161290323,37.94,57.92,0,0,0,0,0
"USW00026617","NOME MUNI AP",5,"22C","1984","08","1984-08-01","1984-09-01",39.7458064516129,26.96,48.02,0,0,0,0,0
"USW00026617","NOME MUNI AP",5,"22C","1984","09","1984-09-01","1984-10-01",38.702,28.04,48.02,0,0,0,0,0
"USW00026617","NOME MUNI AP",5,"22C","1984","10","1984-10-01","1984-11-01",23.6793548387097,6.98,37.04,0,0.031750064516129,0,0.984252,0
"USW00026617","NOME MUNI AP",5,"22C","1984","11","1984-11-01","1984-12-01",10.604,-5.98,24.08,0,0.66272968,0,2.00787408,0
"USW00026617","NOME MUNI AP",5,"22C","1984","12","1984-12-01","1985-01-01",3.77483870967742,-18.94,26.06,0,4.13131839483871,0,9.01574832,0
"USW00026617","NOME MUNI AP",5,"22C","1985","01","1985-01-01","1985-02-01",18.5870967741935,-9.04,32,0,5.00000016,2.99212608,7.99212624,0
"USW00026617","NOME MUNI AP",5,"22C","1985","02","1985-02-01","1985-03-01",-8.62214285714286,-27.94,28.04,0,5.25309353142857,2.99212608,7.00787424,0
"USW00026617","NOME MUNI AP",5,"22C","1985","03","1985-03-01","1985-04-01",-2.35096774193549,-27.04,26.06,0,6.00584220387097,4.01574816,10.00000032,0
