"ntwk","wyear","state","site_name","ts","start","enddate","latitude","longitude","elev_ft","county","huc","site_id"
"SNTL","2020","AK","Chena Lakes","","2020-August","2100-January","  64.76","-147.22","    500","Fairbanks North Star","190803060901 (190803060901)","SNTL:1260"
"SNTL","1998","AK","Independence Mine","","1997-October","2100-January","  61.79","-149.28","   3550","Matanuska-susitna","Fishhook Creek-Little Susitna River (190205051202)","SNTL:1091"
"SNTL","1983","AK","KODIAK","","1982-October","1986-October","  57.75","-152.48","     19","Kodiak Island","Chiniak Bay (190207011506)","SNTL:201"
"SNOW","2018","AK","Browns Lake","","2017-December","2100-January","  60.47","-150.73","    276","Kenai Peninsula","Outlet Funny River (190203021704)","SNOW:50LL15"
"SNOW","2017","AK","Lower Kachemak","","2016-October","2018-January","  59.73","-150.69","   1915","Kenai Peninsula","Bradley Lake (190203011101)","SNOW:50K08"
"SNOW","2017","AK","Mount Ripinsky","","2016-October","2100-January","  59.26","-135.49","   2540","Haines","Chilkoot Inlet-Frontal Lynn Canal (190103030802)","SNOW:35K05"
"SNOW","2016","AK","Bear Creek","","2016-January","2100-January","  60.19","-150.53","   2516","Kenai Peninsula","Moose Creek (190203010301)","SNOW:50LL24"
"SNOW","2016","AK","Benjamin Creek","","2016-January","2100-January","  60.31","-150.27","   3090","Kenai Peninsula","Benjamin Creek (190203021503)","SNOW:50LL21"
"SNOW","2016","AK","Bullfrog","","2015-October","2100-January","  63.81","-159.17","    100","Yukon-koyukuk","190903010304 (190903010304)","SNOW:59O04"
"SNOW","2016","AK","Cytex Pass","","2016-January","2100-January","  59.97","-151.01","   1860","Kenai Peninsula","Nikolai Creek (190203010304)","SNOW:51KK17"
"SNOW","2016","AK","Fox River Bench","","2016-January","2100-January","  59.92","-150.76","   1214","Kenai Peninsula","Middle Fox River (190203011004)","SNOW:50KK09"
"SNOW","2016","AK","Hidden Creek","","2016-January","2016-March","  60.46","-150.20","    279","Kenai Peninsula","Hidden Lake-Hidden Creek (190203021407)","SNOW:50LL17"
"SNOW","2016","AK","Mosquito Lake","","2016-January","2100-January","  60.64","-150.83","    279","Kenai Peninsula","West Fork Moose River (190203021605)","SNOW:50LL12"
"SNOW","2016","AK","Mystery Bowl","","2016-January","2100-January","  60.60","-150.11","   2765","Kenai Peninsula","Outlet Mystery Creek (190203020605)","SNOW:50LL14"
"SNOW","2016","AK","Nikolai Creek","","2016-January","2100-January","  60.08","-150.95","    853","Kenai Peninsula","Nikolai Creek (190203010304)","SNOW:50LL25"
"SNOW","2016","AK","Pepper Lake","","2016-January","2100-January","  60.86","-150.43","    213","Kenai Peninsula","Gene Lake (190203020801)","SNOW:50LL08"
"SNOW","2016","AK","Skilak Lake","","2016-January","2100-January","  60.39","-150.42","    266","Kenai Peninsula","Skilak Lake (190203021409)","SNOW:50LL16"
"SNOW","2016","AK","Trapper Joe Ridge","","2016-January","2100-January","  60.75","-150.02","   2424","Kenai Peninsula","Middle Chickaloon River (190203020607)","SNOW:50LL11"
"SNOW","2015","AK","Birthday Pass","","2015-January","2100-January","  61.80","-149.30","   4020","Matanuska-susitna","Fishhook Creek-Little Susitna River (190205051202)","SNOW:49M28"
"SNOW","2015","AK","East Chalatna","","2014-December","2100-January","  66.45","-151.70","    430","Yukon-koyukuk","Kanuti Flats-Kanuti Chalatna Creek (190901040903)","SNOW:51R06"
"SNOW","2015","AK","Galena Ecological Site","","2015-January","2100-January","  64.75","-156.82","    128","Yukon-koyukuk","Bear Creek (190902051105)","SNOW:56P01"
"SNOW","2014","AK","Copper Center","","2014-February","2100-January","  62.02","-145.36","   1264","Valdez-cordova","Dry Creek-Copper River (190201022206)","SNOW:45N04"
"SNOW","2013","AK","Aniak","","2012-December","2100-January","  61.58","-159.58","     80","Bethel","Aniak Slough-Kuskokwim River (190305020504)","SNOW:59M02"
"SNOW","2010","AK","Institute Creek","","2009-December","2100-January","  56.43","-132.31","   1350","Wrangell","Pat Creek-Frontal Zimovia Strait (190102090205)","SNOW:32H04"
"SNOW","2010","AK","Rainbow Falls","","2009-December","2100-January","  56.42","-132.33","    500","Wrangell","Pat Creek-Frontal Zimovia Strait (190102090205)","SNOW:33H05"
"SNOW","2009","AK","West Creek","","2009-February","2100-January","  59.53","-135.39","    475","Skagway","West Creek (190103030103)","SNOW:35K04"
"SNOW","2008","AK","Hoholitna River","","2008-April","2011-February","  60.87","-156.38","    773","Dillingham","190304042204 (190304042204)","SNOW:56L01"
"SNOW","2008","AK","Holitna River","","2008-January","2017-October","  61.25","-157.13","    257","Bethel","Kulukbuk Hills-Holitna River (190304041310)","SNOW:57M01"
"SNOW","2008","AK","Holokuk River","","2008-February","2017-October","  61.46","-158.52","    367","Bethel","Lower Holokuk River (190305011308)","SNOW:58M01"
"SNOW","2008","AK","Johnny Slu","","2008-January","2017-October","  61.59","-157.08","    180","Bethel","Outlet Holitna River (190304042808)","SNOW:57M02"
"SNOW","2008","AK","Kogrukluk River","","2008-January","2017-October","  60.77","-158.01","    493","Dillingham","Lower Kogrukluk River (190304040212)","SNOW:58L01"
"SNOW","2008","AK","Lower Aniak","","2008-February","2017-October","  61.37","-159.25","    164","Bethel","190305012302 (190305012302)","SNOW:59M03"
