"","yrmo","date","wntr","dow"
"1","1980-01",1980-01-01,1979,185
"2","1980-02",1980-02-01,1979,216
"3","1980-03",1980-03-01,1979,245
"4","1980-04",1980-04-01,1979,276
"5","1980-05",1980-05-01,1979,306
"6","1980-06",1980-06-01,1979,337
"7","1980-07",1980-07-01,1980,1
"8","1980-08",1980-08-01,1980,32
"9","1980-09",1980-09-01,1980,63
"10","1980-10",1980-10-01,1980,93
"11","1980-11",1980-11-01,1980,124
"12","1980-12",1980-12-01,1980,154
"13","1981-01",1981-01-01,1980,185
"14","1981-02",1981-02-01,1980,216
"15","1981-03",1981-03-01,1980,244
"16","1981-04",1981-04-01,1980,275
"17","1981-05",1981-05-01,1980,305
"18","1981-06",1981-06-01,1980,336
"19","1981-07",1981-07-01,1981,1
"20","1981-08",1981-08-01,1981,32
"21","1981-09",1981-09-01,1981,63
"22","1981-10",1981-10-01,1981,93
"23","1981-11",1981-11-01,1981,124
"24","1981-12",1981-12-01,1981,154
"25","1982-01",1982-01-01,1981,185
"26","1982-02",1982-02-01,1981,216
"27","1982-03",1982-03-01,1981,244
"28","1982-04",1982-04-01,1981,275
"29","1982-05",1982-05-01,1981,305
"30","1982-06",1982-06-01,1981,336
"31","1982-07",1982-07-01,1982,1
"32","1982-08",1982-08-01,1982,32
"33","1982-09",1982-09-01,1982,63
"34","1982-10",1982-10-01,1982,93
"35","1982-11",1982-11-01,1982,124
"36","1982-12",1982-12-01,1982,154
"37","1983-01",1983-01-01,1982,185
"38","1983-02",1983-02-01,1982,216
"39","1983-03",1983-03-01,1982,244
"40","1983-04",1983-04-01,1982,275
"41","1983-05",1983-05-01,1982,305
"42","1983-06",1983-06-01,1982,336
"43","1983-07",1983-07-01,1983,1
"44","1983-08",1983-08-01,1983,32
"45","1983-09",1983-09-01,1983,63
"46","1983-10",1983-10-01,1983,93
"47","1983-11",1983-11-01,1983,124
"48","1983-12",1983-12-01,1983,154
"49","1984-01",1984-01-01,1983,185
"50","1984-02",1984-02-01,1983,216
"51","1984-03",1984-03-01,1983,245
"52","1984-04",1984-04-01,1983,276
"53","1984-05",1984-05-01,1983,305
"54","1984-06",1984-06-01,1983,336
"55","1984-07",1984-07-01,1984,1
"56","1984-08",1984-08-01,1984,32
"57","1984-09",1984-09-01,1984,63
"58","1984-10",1984-10-01,1984,93
"59","1984-11",1984-11-01,1984,124
"60","1984-12",1984-12-01,1984,154
"61","1985-01",1985-01-01,1984,185
"62","1985-02",1985-02-01,1984,216
"63","1985-03",1985-03-01,1984,244
"64","1985-04",1985-04-01,1984,275
"65","1985-05",1985-05-01,1984,305
"66","1985-06",1985-06-01,1984,336
"67","1985-07",1985-07-01,1985,1
"68","1985-08",1985-08-01,1985,32
"69","1985-09",1985-09-01,1985,63
"70","1985-10",1985-10-01,1985,93
"71","1985-11",1985-11-01,1985,124
"72","1985-12",1985-12-01,1985,154
"73","1986-01",1986-01-01,1985,185
"74","1986-02",1986-02-01,1985,216
"75","1986-03",1986-03-01,1985,244
"76","1986-04",1986-04-01,1985,275
"77","1986-05",1986-05-01,1985,305
"78","1986-06",1986-06-01,1985,336
"79","1986-07",1986-07-01,1986,1
"80","1986-08",1986-08-01,1986,32
"81","1986-09",1986-09-01,1986,63
"82","1986-10",1986-10-01,1986,93
"83","1986-11",1986-11-01,1986,124
"84","1986-12",1986-12-01,1986,154
"85","1987-01",1987-01-01,1986,185
"86","1987-02",1987-02-01,1986,216
"87","1987-03",1987-03-01,1986,244
"88","1987-04",1987-04-01,1986,275
"89","1987-05",1987-05-01,1986,305
"90","1987-06",1987-06-01,1986,336
"91","1987-07",1987-07-01,1987,1
"92","1987-08",1987-08-01,1987,32
"93","1987-09",1987-09-01,1987,63
"94","1987-10",1987-10-01,1987,93
"95","1987-11",1987-11-01,1987,124
"96","1987-12",1987-12-01,1987,154
"97","1988-01",1988-01-01,1987,185
"98","1988-02",1988-02-01,1987,216
"99","1988-03",1988-03-01,1987,245
"100","1988-04",1988-04-01,1987,276
"101","1988-05",1988-05-01,1987,306
"102","1988-06",1988-06-01,1987,337
"103","1988-07",1988-07-01,1988,1
"104","1988-08",1988-08-01,1988,32
"105","1988-09",1988-09-01,1988,63
"106","1988-10",1988-10-01,1988,93
"107","1988-11",1988-11-01,1988,124
"108","1988-12",1988-12-01,1988,154
"109","1989-01",1989-01-01,1988,185
"110","1989-02",1989-02-01,1988,216
"111","1989-03",1989-03-01,1988,244
"112","1989-04",1989-04-01,1988,275
"113","1989-05",1989-05-01,1988,305
"114","1989-06",1989-06-01,1988,336
"115","1989-07",1989-07-01,1989,1
"116","1989-08",1989-08-01,1989,32
"117","1989-09",1989-09-01,1989,63
"118","1989-10",1989-10-01,1989,93
"119","1989-11",1989-11-01,1989,124
"120","1989-12",1989-12-01,1989,154
"121","1990-01",1990-01-01,1989,185
"122","1990-02",1990-02-01,1989,216
"123","1990-03",1990-03-01,1989,244
"124","1990-04",1990-04-01,1989,275
"125","1990-05",1990-05-01,1989,305
"126","1990-06",1990-06-01,1989,336
"127","1990-07",1990-07-01,1990,1
"128","1990-08",1990-08-01,1990,32
"129","1990-09",1990-09-01,1990,63
"130","1990-10",1990-10-01,1990,93
"131","1990-11",1990-11-01,1990,124
"132","1990-12",1990-12-01,1990,154
"133","1991-01",1991-01-01,1990,185
"134","1991-02",1991-02-01,1990,216
"135","1991-03",1991-03-01,1990,244
"136","1991-04",1991-04-01,1990,275
"137","1991-05",1991-05-01,1990,305
"138","1991-06",1991-06-01,1990,336
"139","1991-07",1991-07-01,1991,1
"140","1991-08",1991-08-01,1991,32
"141","1991-09",1991-09-01,1991,63
"142","1991-10",1991-10-01,1991,93
"143","1991-11",1991-11-01,1991,124
"144","1991-12",1991-12-01,1991,154
"145","1992-01",1992-01-01,1991,185
"146","1992-02",1992-02-01,1991,216
"147","1992-03",1992-03-01,1991,245
"148","1992-04",1992-04-01,1991,276
"149","1992-05",1992-05-01,1991,306
"150","1992-06",1992-06-01,1991,337
"151","1992-07",1992-07-01,1992,1
"152","1992-08",1992-08-01,1992,32
"153","1992-09",1992-09-01,1992,63
"154","1992-10",1992-10-01,1992,93
"155","1992-11",1992-11-01,1992,124
"156","1992-12",1992-12-01,1992,154
"157","1993-01",1993-01-01,1992,185
"158","1993-02",1993-02-01,1992,216
"159","1993-03",1993-03-01,1992,244
"160","1993-04",1993-04-01,1992,275
"161","1993-05",1993-05-01,1992,305
"162","1993-06",1993-06-01,1992,336
"163","1993-07",1993-07-01,1993,1
"164","1993-08",1993-08-01,1993,32
"165","1993-09",1993-09-01,1993,63
"166","1993-10",1993-10-01,1993,93
"167","1993-11",1993-11-01,1993,124
"168","1993-12",1993-12-01,1993,154
"169","1994-01",1994-01-01,1993,185
"170","1994-02",1994-02-01,1993,216
"171","1994-03",1994-03-01,1993,244
"172","1994-04",1994-04-01,1993,275
"173","1994-05",1994-05-01,1993,305
"174","1994-06",1994-06-01,1993,336
"175","1994-07",1994-07-01,1994,1
"176","1994-08",1994-08-01,1994,32
"177","1994-09",1994-09-01,1994,63
"178","1994-10",1994-10-01,1994,93
"179","1994-11",1994-11-01,1994,124
"180","1994-12",1994-12-01,1994,154
"181","1995-01",1995-01-01,1994,185
"182","1995-02",1995-02-01,1994,216
