dbID,source,uid,name,sids,elev,lat,long,swnd_coverage
365,ACIS,32637,Kodiak Area,ADQthr 9,NA,57.7528,-152.5065,99.7
366,ACIS,32640,King Salmon Area,AKNthr 9,NA,58.6745,-156.6493,99.8
367,ACIS,32645,Anchorage Area,ANCthr 9,NA,61.1708,-149.9995,100
368,ACIS,32647,Annette Area,ANNthr 9,NA,55.1215,-131.4582,97
369,ACIS,32657,Bethel Area,BETthr 9,NA,60.7772,-161.8315,99.4
370,ACIS,32662,Delta Junction Area,BIGthr 9,NA,64.0512,-145.7295,43.4
371,ACIS,32673,Barrow Area,BRWthr 9,NA,71.2866,-156.7729,99.4
372,ACIS,32675,Bettles Area,BTTthr 9,NA,66.9199,-151.5191,99.4
373,ACIS,32683,Cold Bay Area,CDBthr 9,NA,55.1999,-162.7246,99.6
374,ACIS,32722,Fairbanks Area,FAIthr 9,NA,64.8129,-147.8638,100
375,ACIS,32736,Gulkana Area,GKNthr 9,NA,62.153,-145.457,51.5
376,ACIS,32749,Homer Area,HOMthr 9,NA,59.642694,-151.4826,50.1
377,ACIS,32772,Juneau Area,JNUthr 9,NA,58.357176,-134.5776,98.8
378,ACIS,32790,Mcgrath Area,MCGthr 9,NA,62.951284,-155.6043,99.9
379,ACIS,32817,Nome Area,OMEthr 9,NA,64.509816,-165.443,99.8
380,ACIS,32822,Kotzebue Area,OTZthr 9,NA,66.88912,-162.6013,99.4
381,ACIS,32863,St Paul Island Area,SNPthr 9,NA,57.159273,-170.2216,95
382,ACIS,32870,Talkeetna Area,TKAthr 9,NA,62.320096,-150.0955,46.2
383,ACIS,32886,Yakutat Area,YAKthr 9,NA,59.509121,-139.6647,98.6
509,ACIS,80224,Skagway Area,AGYthr 9,NA,59.459203,-135.3175,36.5
537,NRCS,NA,East Palmer,SNTL:953,230,61.59858,-149.09637,0.1
