Site,Location,Region,UnitSub,Year,geometry,WSmeta.id,dist.WS,WS.ID,WS.name,WS.source,WS.geometry
JB01,JBER,1,1,2019,"c(-149.547, 61.14944)",36,7927.228182139555,SNTL:1070,Anchorage Hillside,SNTL,"c(-149.67, 61.11)"
JB02,JBER,1,1,2019,"c(-149.534, 61.14596)",36,8325.118567321391,SNTL:1070,Anchorage Hillside,SNTL,"c(-149.67, 61.11)"
MV,Denali,1,1,2018,"c(-150.366498, 63.43067603)",428,2840.8954395425276,83137,EIELSON VISITOR CENTER ALASKA,ACIS,"c(-150.3094, 63.4314)"
P002,Hatcher Pass,1,1,2019,"c(-149.23418, 61.80948)",126,11040.28418473126,20778,LITTLE SU AT HATCHER PASS BRIDGE,ACIS,"c(-149.2316, 61.7102)"
P003,Hatcher Pass,1,1,2018,"c(-149.272744, 61.795912)",126,9773.611566892117,20778,LITTLE SU AT HATCHER PASS BRIDGE,ACIS,"c(-149.2316, 61.7102)"
P005,Hatcher Pass,1,1,2018,"c(-149.332478, 61.781319)",126,9525.445225444333,20778,LITTLE SU AT HATCHER PASS BRIDGE,ACIS,"c(-149.2316, 61.7102)"
P007,Hatcher Pass,1,1,2018,"c(-149.307037, 61.771669)",126,7905.09789287193,20778,LITTLE SU AT HATCHER PASS BRIDGE,ACIS,"c(-149.2316, 61.7102)"
P008,Hatcher Pass,1,1,2018,"c(-149.347223, 61.7676149)",126,8821.374986061574,20778,LITTLE SU AT HATCHER PASS BRIDGE,ACIS,"c(-149.2316, 61.7102)"
P010A,Hatcher Pass,1,1,2019,"c(-149.323738, 61.76157299)",126,7494.600935864016,20778,LITTLE SU AT HATCHER PASS BRIDGE,ACIS,"c(-149.2316, 61.7102)"
P037,Steese,1,1,2018,"c(-145.33842, 65.500575)",48,3504.451028810356,SNTL:960,Eagle Summit,SNTL,"c(-145.41, 65.49)"
P038,Steese,1,1,2018,"c(-145.441584, 65.494097)",48,1526.409034211789,SNTL:960,Eagle Summit,SNTL,"c(-145.41, 65.49)"
P039,Steese,1,1,2018,"c(-145.500423, 65.498644)",48,4279.806219259998,SNTL:960,Eagle Summit,SNTL,"c(-145.41, 65.49)"
P042,Steese,1,1,2018,"c(-145.401455, 65.483216)",48,851.149741749366,SNTL:960,Eagle Summit,SNTL,"c(-145.41, 65.49)"
P051,Steese,1,1,2018,"c(-146.007, 65.407041)",211,6394.161356065903,31878,MONTANA CREEK DOT,ACIS,"c(-146.0864, 65.36)"
P060,Steese,1,1,2018,"c(-146.636898, 65.373228)",35,2202.624314721517,SNTL:1090,Upper Nome Creek,SNTL,"c(-146.59, 65.37)"
P063,Paxson,1,1,2018,"c(-145.80457, 63.49724)",26,34179.27388471385,SNTL:1268,Fielding Lake,SNTL,"c(-145.63, 63.2)"
P092,Paxson,1,1,2019,"c(-146.2469075, 63.12284192)",26,32136.39578579431,SNTL:1268,Fielding Lake,SNTL,"c(-145.63, 63.2)"
P094,Paxson,1,1,2019,"c(-146.18567, 63.12132999)",26,29235.85661829504,SNTL:1268,Fielding Lake,SNTL,"c(-145.63, 63.2)"
P100,Paxson,1,1,2019,"c(-145.63512, 63.08387999)",380,9093.816886513254,79408,GLENNALLEN 64 N,ACIS,"c(-145.50031, 63.0295)"
P111,Paxson,1,1,2019,"c(-146.3077, 63.08770004)",26,36260.39761549237,SNTL:1268,Fielding Lake,SNTL,"c(-145.63, 63.2)"
P118,Paxson,1,1,2018,"c(-146.36537, 63.08574)",26,39064.34992130693,SNTL:1268,Fielding Lake,SNTL,"c(-145.63, 63.2)"
P119,Paxson,1,1,2019,"c(-146.3910338, 63.08487073)",26,40316.75165269519,SNTL:1268,Fielding Lake,SNTL,"c(-145.63, 63.2)"
P128,Paxson,1,1,2018,"c(-146.231861, 63.074222)",26,33317.504355117606,SNTL:1268,Fielding Lake,SNTL,"c(-145.63, 63.2)"
P133,Denali,1,1,2018,"c(-148.979144, 63.801632)",421,8526.902602674674,83041,DENALI VISITOR CENTER ALASKA,ACIS,"c(-148.9055, 63.7322)"
P135,Denali,1,1,2018,"c(-148.872317, 63.748337)",421,2425.862715911327,83041,DENALI VISITOR CENTER ALASKA,ACIS,"c(-148.9055, 63.7322)"
P138,Denali,1,1,2018,"c(-149.281669, 63.739354)",421,18526.48899343668,83041,DENALI VISITOR CENTER ALASKA,ACIS,"c(-148.9055, 63.7322)"
P146A,Denali,1,1,2018,"c(-150.316008, 63.43659097)",428,664.1977012379817,83137,EIELSON VISITOR CENTER ALASKA,ACIS,"c(-150.3094, 63.4314)"
P147,Denali,1,1,2019,"c(-148.376847, 63.35586302)",61,36629.80902196109,SNTL:1094,Monahan Flat,SNTL,"c(-147.65, 63.31)"
P152A,Hatcher Pass,1,1,2019,"c(-149.38722, 61.77111)",126,10629.93515730752,20778,LITTLE SU AT HATCHER PASS BRIDGE,ACIS,"c(-149.2316, 61.7102)"
P153,Steese,1,1,2018,"c(-146.565185, 65.363468)",35,1360.2522838628706,SNTL:1090,Upper Nome Creek,SNTL,"c(-146.59, 65.37)"
P157,Steese,1,1,2018,"c(-146.010144, 65.394559)",211,5219.950668630886,31878,MONTANA CREEK DOT,ACIS,"c(-146.0864, 65.36)"
P250,Paxson,1,1,2018,"c(-146.412713, 63.08475497)",26,41354.933132932434,SNTL:1268,Fielding Lake,SNTL,"c(-145.63, 63.2)"
P300,Hatcher Pass,1,1,2018,"c(-149.2166, 61.81248601)",126,11401.04885569225,20778,LITTLE SU AT HATCHER PASS BRIDGE,ACIS,"c(-149.2316, 61.7102)"
P301,Southcentral,1,1,2018,"c(-148.847649, 60.76243596)",116,2553.7803628448555,20671,PORTAGE GLACIER VISITOR CENTER,ACIS,"c(-148.83888, 60.785)"
P302,Southcentral,1,1,2018,"c(-149.596296, 61.04757104)",79,6736.405480163909,SNTL:946,Indian Pass,SNTL,"c(-149.48, 61.07)"
P303,Southcentral,1,1,2018,"c(-149.664699, 61.093388)",36,1869.0076324491188,SNTL:1070,Anchorage Hillside,SNTL,"c(-149.67, 61.11)"
P601,Southcentral,1,1,2019,"c(-149.688893, 62.88168199)",422,43558.14432854519,83053,DUNKLE HILLS ALASKA,ACIS,"c(-149.5392, 63.2675)"
P604,Thompson Pass,1,1,2019,"c(-145.75734, 61.14130997)",42,7902.384232875575,SNTL:1055,Upper Tsaina River,SNTL,"c(-145.65, 61.19)"
P605A,Thompson Pass,1,1,2019,"c(-145.737699, 61.15659999)",42,5991.746289021215,SNTL:1055,Upper Tsaina River,SNTL,"c(-145.65, 61.19)"
P609,Paxson,1,1,2019,"c(-147.6702842, 61.78226799)",82,38723.40352921418,SNTLT:1264,Horsepasture Pass,SNTLT,"c(-147.63, 62.13)"
P612,Paxson,1,1,2019,"c(-146.106103, 63.10763698)",26,26020.23104224676,SNTL:1268,Fielding Lake,SNTL,"c(-145.63, 63.2)"
P615,Southcentral,1,1,2019,"c(-149.115395, 61.05958197)",80,11157.282229666489,SNTL:1103,Mt. Alyeska,SNTL,"c(-149.09, 60.96)"
P616,Southcentral,1,1,2019,"c(-149.0798976, 60.96205727)",80,591.3145822801652,SNTL:1103,Mt. Alyeska,SNTL,"c(-149.09, 60.96)"
P617,Southcentral,1,1,2019,"c(-149.599522, 61.06619303)",36,6171.137465305162,SNTL:1070,Anchorage Hillside,SNTL,"c(-149.67, 61.11)"
P618,Paxson,1,1,2019,"c(-145.587427, 63.05550196)",380,5257.746960443628,79408,GLENNALLEN 64 N,ACIS,"c(-145.50031, 63.0295)"
P619,Denali,1,1,2019,"c(-149.247713, 63.73997597)",421,16860.601280792063,83041,DENALI VISITOR CENTER ALASKA,ACIS,"c(-148.9055, 63.7322)"
Polychrome,Denali,1,1,2018,"c(-149.828615, 63.53560698)",399,10715.775421118335,82794,TOKLAT ALASKA,ACIS,"c(-150.0433, 63.5242)"
