"ntwk","wyear","state","site_name","ts","start","enddate","latitude","longitude","elev_ft","county","huc","site_id"
"SCAN","2019","NV","Ruby","","2019-August","2100-January","  40.64","-115.23","   6000","Elko","Upper Withington Creek (160600071103)","SCAN:2229"
"SCAN","2018","AK","Gulkana River","","2018-June","2100-January","  62.41","-145.38","   1830","Valdez-cordova","Boulder Lake-Gulkana River (190201020604)","SCAN:2222"
"SCAN","2018","AK","Spring Creek","","2018-June","2100-January","  61.66","-149.13","    580","Matanuska-susitna","Outlet Matanuska River (190204020709)","SCAN:2044"
"SCAN","2018","MO","Busby Farm","","2018-May","2100-January","  38.50"," -92.25","    600","Cole","Headwaters Moreau River (103001021206)","SCAN:2224"
"SCAN","2018","MO","Carver Farm","","2018-May","2100-January","  38.53"," -92.13","    560","Cole","Moreau River (103001021207)","SCAN:2223"
"SCAN","2018","MO","Mark Twain HS","","2018-May","2100-January","  39.51"," -91.51","    730","Ralls","Spencer Creek (071100070205)","SCAN:2225"
"SCAN","2018","MO","Shaw Nature Reserve","","2018-May","2100-January","  38.48"," -90.81","    590","Franklin","Brush Creek-Meramec River (071401020902)","SCAN:2227"
"SCAN","2018","MO","Twin Pines Conservation Area","","2018-May","2100-January","  36.99"," -91.31","    960","Shannon","Upper Pike Creek (110100080401)","SCAN:2226"
"SCAN","2018","TX","Nacogdoches","","2018-April","2100-January","  31.50"," -94.76","    245","Nacogdoches","unknown ()","SCAN:2228"
"SCAN","2015","AK","Unalakleet","","2015-August","2100-January","  63.91","-160.75","    290","Nome","Outlet Unalakleet River (190501021408)","SCAN:2221"
"SCAN","2015","CA","Ash Valley","","2014-October","2100-January","  41.05","-120.69","   5097","Lassen","Ash Valley-Ash Creek (180200021404)","SCAN:2214"
"SCAN","2015","CA","Bodie Hills","","2014-October","2100-January","  38.26","-119.13","   7825","Mono","Aurora Canyon (160503010104)","SCAN:2215"
"SCAN","2015","CA","French Gulch","","2014-October","2100-January","  40.79","-122.55","   3704","Shasta","East Fork Clear Creek-Clear Creek (180201540102)","SCAN:2218"
"SCAN","2015","CA","Monocline Ridge","","2014-October","2100-January","  36.54","-120.55","    875","Fresno","Town of Levis (180300090904)","SCAN:2217"
"SCAN","2015","CA","Stubblefield","","2014-October","2100-January","  34.97","-119.48","   2995","San Luis Obispo","Padrones Spring-Carrizo Plain (180600030101)","SCAN:2219"
"SCAN","2015","MO","Elsberry PMC","","2015-August","2100-January","  39.15"," -90.78","    453","Lincoln","Lost Creek (071100041104)","SCAN:2220"
"SCAN","2015","NV","Buckhorn","","2014-October","2100-January","  40.88","-119.95","   3925","Washoe","Buckhorn Reservoir (180800020104)","SCAN:2216"
"SCAN","2014","AK","Canyon Lake","","2014-August","2100-January","  59.42","-161.16","    550","Bethel","Canyon Creek (190305028402)","SCAN:1232"
"SCAN","2014","AK","Checkers Creek","","2014-September","2100-January","  65.40","-164.71","    326","Nome","Quartz Creek (190501050503)","SCAN:2213"
"SCAN","2014","AK","Hozatka Lake","","2014-August","2100-January","  65.20","-156.63","    206","Yukon-koyukuk","Hozatka Lake (190901091201)","SCAN:2210"
"SCAN","2014","AK","Innoko Camp","","2014-August","2100-January","  63.64","-158.03","     83","Yukon-koyukuk","190903031103-Innoko River (190903031103)","SCAN:2211"
"SCAN","2014","AK","Kanuti Lake","","2014-August","2100-January","  66.18","-151.74","    524","Yukon-koyukuk","Old Dummy Lake-Kanuti River (190901040707)","SCAN:2212"
"SCAN","2014","AK","Naknek River","","2013-October","2100-January","  58.67","-156.57","    100","Bristol Bay","Town of King Salmon-Naknek River (190302041502)","SCAN:2209"
"SCAN","2014","MO","CMRB LTAR-MO","","2014-September","2100-January","  39.23"," -92.12","    852","Boone","Goodwater Creek (071100060102)","SCAN:2195"
"SCAN","2013","AK","Kanaryagak Camp","","2013-August","2100-January","  61.36","-165.12","     13","Kusilvak","Kuyungslik River (190903053903)","SCAN:2208"
"SCAN","2013","CO","CPER","","2013-September","2100-January","  40.82","-104.71","   5330","Weld","Headwaters Owl Creek (101900080301)","SCAN:2197"
