"ID","Name","Region","Unit","YEAR","MONTH","START","END","TMINavg_F","TMINmin_F","TMINmax_F","TMINnull_pcnt","SNWDavg_in","SNWDmin_in","SNWDmax_in","SNWDnull_pcnt"
"USC00505778","MCKINLEY PARK",1,1,"1980","01","1980-01-01","1980-02-01",-12.9012903225806,-43.96,30.92,-200,16.61417376,10.98425232,24.0157488,-200
"USC00505778","MCKINLEY PARK",1,1,"1980","02","1980-02-01","1980-03-01",4.41655172413793,-29.92,30.02,-200,21.144448137931,19.01574864,25.9842528,-200
"USC00505778","MCKINLEY PARK",1,1,"1980","03","1980-03-01","1980-04-01",5.56322580645161,-20.92,28.04,-200,20.1930410322581,20.00000064,22.00787472,-200
"USC00505778","MCKINLEY PARK",1,1,"1980","04","1980-04-01","1980-05-01",16.928,3.92,30.02,-200,12.6968508,0,20.00000064,-200
"USC00505778","MCKINLEY PARK",1,1,"1980","05","1980-05-01","1980-06-01",29.8167741935484,19.04,41,-200,0,0,0,-200
"USC00505778","MCKINLEY PARK",1,1,"1980","06","1980-06-01","1980-07-01",39.464,28.94,53.06,-200,0.40026248,0,7.00787424,-200
"USC00505778","MCKINLEY PARK",1,1,"1980","07","1980-07-01","1980-08-01",43.641935483871,30.92,57.02,-200,0,0,0,-200
"USC00505778","MCKINLEY PARK",1,1,"1980","08","1980-08-01","1980-09-01",39.4961290322581,28.04,50,-200,0,0,0,-200
"USC00505778","MCKINLEY PARK",1,1,"1980","09","1980-09-01","1980-10-01",28.304,17.96,44.06,-200,0.76771656,0,5.00000016,-200
"USC00505778","MCKINLEY PARK",1,1,"1980","10","1980-10-01","1980-11-01",18.801935483871,-0.0399999999999991,35.96,-200,3.06451622709677,0,7.00787424,-200
"USC00505778","MCKINLEY PARK",1,1,"1980","11","1980-11-01","1980-12-01",6.41,-9.94,23,-200,4.471128752,2.99212608,5.98425216,-200
"USC00505778","MCKINLEY PARK",1,1,"1980","12","1980-12-01","1981-01-01",-23.1438709677419,-43.96,-4,-200,6.67386356129032,5.98425216,7.99212624,-200
"USC00505778","MCKINLEY PARK",1,1,"1981","01","1981-01-01","1981-02-01",17.7393548387097,-2.92,35.96,-200,4.70916956903226,2.99212608,7.00787424,-200
"USC00505778","MCKINLEY PARK",1,1,"1981","02","1981-02-01","1981-03-01",2.08785714285714,-32.98,33.08,-200,8.54049521142857,4.01574816,15.00000048,-200
"USC00505778","MCKINLEY PARK",1,1,"1981","03","1981-03-01","1981-04-01",14.6793548387097,-4,35.06,-200,6.12649244903226,5.00000016,7.99212624,-200
"USC00505778","MCKINLEY PARK",1,1,"1981","04","1981-04-01","1981-05-01",11.732,-7.06000000000001,32,-200,7.50000024,0,15.00000048,-200
"USC00505778","MCKINLEY PARK",1,1,"1981","05","1981-05-01","1981-06-01",33.5735483870968,23,42.98,-200,0,0,0,-200
"USC00505778","MCKINLEY PARK",1,1,"1981","06","1981-06-01","1981-07-01",37.196,26.96,44.96,-200,0.0328084,0,0.984252,-200
"USC00505778","MCKINLEY PARK",1,1,"1981","07","1981-07-01","1981-08-01",41.841935483871,30.92,48.92,-200,0,0,0,-200
"USC00505778","MCKINLEY PARK",1,1,"1981","08","1981-08-01","1981-09-01",37.7832258064516,21.02,50,-200,0,0,0,-200
"USC00505778","MCKINLEY PARK",1,1,"1981","09","1981-09-01","1981-10-01",27.092,1.94,39.02,-200,0.431758544,0,5.00000016,-200
"USC00505778","MCKINLEY PARK",1,1,"1981","10","1981-10-01","1981-11-01",17.0483870967742,-5.98,35.06,-200,3.70713753290323,0,10.00000032,-200
"USC00505778","MCKINLEY PARK",1,1,"1981","11","1981-11-01","1981-12-01",-0.694000000000002,-18.04,23,-200,5.097113024,2.99212608,7.00787424,-200
"USC00505778","MCKINLEY PARK",1,1,"1981","12","1981-12-01","1982-01-01",-3.76193548387097,-23.98,30.02,-200,10.0292103793548,5.98425216,12.9921264,-200
"USC00505778","MCKINLEY PARK",1,1,"1982","01","1982-01-01","1982-02-01",-16.33,-38.92,6.08,-190,15.232283952,10.98425232,17.00787456,-190
"USC00505778","MCKINLEY PARK",1,1,"1982","02","1982-02-01","1982-03-01",-8.35214285714286,-38.02,33.98,-200,14.2786843714286,7.99212624,17.99212656,-200
"USC00505778","MCKINLEY PARK",1,1,"1982","03","1982-03-01","1982-04-01",3.332,-20.02,30.92,-190,17.000000544,15.00000048,20.00000064,-190
"USC00505778","MCKINLEY PARK",1,1,"1982","04","1982-04-01","1982-05-01",10.466,-18.04,32,-200,17.662730224,10.98425232,20.98425264,-200
"USC00505778","MCKINLEY PARK",1,1,"1982","05","1982-05-01","1982-06-01",25.8567741935484,12.02,39.92,-200,2.09677426064516,0,12.0078744,-200
"USC00505778","MCKINLEY PARK",1,1,"1982","06","1982-06-01","1982-07-01",37.004,26.06,55.04,-200,0,0,0,-200
"USC00505778","MCKINLEY PARK",1,1,"1982","07","1982-07-01","1982-08-01",40.761935483871,30.92,48.92,-200,0,0,0,-200
"USC00505778","MCKINLEY PARK",1,1,"1982","08","1982-08-01","1982-09-01",36.9935483870968,24.08,53.96,-200,0,0,0,-200
"USC00505778","MCKINLEY PARK",1,1,"1982","09","1982-09-01","1982-10-01",33.08,17.06,44.96,-200,0,0,0,-200
"USC00505778","MCKINLEY PARK",1,1,"1982","10","1982-10-01","1982-11-01",5.70838709677419,-18.94,21.92,-200,5.61341140645161,0,10.00000032,-200
"USC00505778","MCKINLEY PARK",1,1,"1982","11","1982-11-01","1982-12-01",0.343999999999998,-23.98,30.02,-200,14.299213056,7.99212624,22.99212672,-200
"USC00505778","MCKINLEY PARK",1,1,"1982","12","1982-12-01","1983-01-01",-1.10258064516129,-32.08,30.92,-200,16.2153929496774,15.98425248,17.00787456,-200
"USC00505778","MCKINLEY PARK",1,1,"1983","01","1983-01-01","1983-02-01",-14.2716129032258,-43.96,19.04,-200,18.5560077058065,17.00787456,19.01574864,-200
"USC00505778","MCKINLEY PARK",1,1,"1983","02","1983-02-01","1983-03-01",-2.72071428571429,-25.96,21.92,-200,18.82874076,17.99212656,20.00000064,-200
"USC00505778","MCKINLEY PARK",1,1,"1983","03","1983-03-01","1983-04-01",-3.17548387096775,-16.96,10.94,-200,22.2529852180645,20.98425264,25.9842528,-200
"USC00505778","MCKINLEY PARK",1,1,"1983","04","1983-04-01","1983-05-01",20.522,1.94,35.96,-200,15.49868816,0,20.98425264,-200
"USC00505778","MCKINLEY PARK",1,1,"1983","05","1983-05-01","1983-06-01",29.876,19.04,55.04,-190,0.031750064516129,0,0.984252,-200
"USC00505778","MCKINLEY PARK",1,1,"1983","06","1983-06-01","1983-07-01",39.674,30.02,51.08,-200,0,0,0,-200
"USC00505778","MCKINLEY PARK",1,1,"1983","07","1983-07-01","1983-08-01",44.2922580645161,35.96,51.08,-200,0,0,0,-200
"USC00505778","MCKINLEY PARK",1,1,"1983","08","1983-08-01","1983-09-01",39.3916129032258,30.02,50,-200,0,0,0,-200
"USC00505778","MCKINLEY PARK",1,1,"1983","09","1983-09-01","1983-10-01",26.372,1.94,39.02,-200,0.1968504,0,0.984252,-200
"USC00505778","MCKINLEY PARK",1,1,"1983","10","1983-10-01","1983-11-01",11.1838709677419,-7.06000000000001,33.98,-200,2.2580645883871,0,5.00000016,-200
"USC00505778","MCKINLEY PARK",1,1,"1983","11","1983-11-01","1983-12-01",10.19,-2.02,37.94,-200,3.500000112,2.99212608,5.98425216,-200
"USC00505778","MCKINLEY PARK",1,1,"1983","12","1983-12-01","1984-01-01",1.09225806451613,-20.02,30.92,-200,5.45212107870968,2.99212608,10.00000032,-200
"USC00505778","MCKINLEY PARK",1,1,"1984","01","1984-01-01","1984-02-01",-6.65354838709678,-29.92,33.98,-200,9.13385856,5.98425216,15.98425248,-200
"USC00505778","MCKINLEY PARK",1,1,"1984","02","1984-02-01","1984-03-01",-18.5055172413793,-36.04,6.98,-200,17.9934841489655,15.98425248,22.00787472,-200
"USC00505778","MCKINLEY PARK",1,1,"1984","03","1984-03-01","1984-04-01",10.6438709677419,-20.02,35.96,-200,11.6116335948387,10.00000032,15.98425248,-200
"USC00505778","MCKINLEY PARK",1,1,"1984","04","1984-04-01","1984-05-01",15.53,-0.940000000000005,35.96,-200,11.933071248,5.00000016,14.01574848,-200
"USC00505778","MCKINLEY PARK",1,1,"1984","05","1984-05-01","1984-06-01",28.2141935483871,14,35.96,-200,0.0647701316129032,0,2.00787408,-200
"USC00505778","MCKINLEY PARK",1,1,"1984","06","1984-06-01","1984-07-01",41.306,32,51.98,-200,0,0,0,-200
"USC00505778","MCKINLEY PARK",1,1,"1984","07","1984-07-01","1984-08-01",44.6929032258065,37.94,51.98,-200,0,0,0,-200
"USC00505778","MCKINLEY PARK",1,1,"1984","08","1984-08-01","1984-09-01",40.1232258064516,19.94,53.96,-200,NA,NA,NA,100
"USC00505778","MCKINLEY PARK",1,1,"1984","09","1984-09-01","1984-10-01",30.932,26.06,42.98,-200,0,0,0,-200
"USC00505778","MCKINLEY PARK",1,1,"1984","10","1984-10-01","1984-11-01",15.318064516129,-0.940000000000005,39.92,-200,2.435695616,0,7.00787424,-190
"USC00505778","MCKINLEY PARK",1,1,"1984","11","1984-11-01","1984-12-01",-3.292,-22,28.04,-200,7.299212832,2.99212608,9.01574832,-200
"USC00505778","MCKINLEY PARK",1,1,"1984","12","1984-12-01","1985-01-01",0.605517241379308,-27.04,30.92,-181,23.3553474580645,7.00787424,45.98425344,-200
"USC00505778","MCKINLEY PARK",1,1,"1985","01","1985-01-01","1985-02-01",14.9464516129032,-7.96000000000001,33.08,-200,27.3520455793548,25.0000008,32.00787504,-200
"USC00505778","MCKINLEY PARK",1,1,"1985","02","1985-02-01","1985-03-01",-15.3914285714286,-38.92,24.08,-200,28.8962326457143,25.9842528,32.00787504,-200
"USC00505778","MCKINLEY PARK",1,1,"1985","03","1985-03-01","1985-04-01",5.28451612903226,-14.98,24.08,-200,34.3891298787097,27.99212688,44.01574944,-200
"USC00505778","MCKINLEY PARK",1,1,"1985","04","1985-04-01","1985-05-01",4.298,-18.04,24.98,-200,30.763780512,27.00787488,32.00787504,-200
"USC00505778","MCKINLEY PARK",1,1,"1985","05","1985-05-01","1985-06-01",27.0064516129032,12.92,39.02,-200,13.4201172696774,0,27.00787488,-200
"USC00505778","MCKINLEY PARK",1,1,"1985","06","1985-06-01","1985-07-01",38.582,30.02,51.98,-200,0,0,0,-200
"USC00505778","MCKINLEY PARK",1,1,"1985","07","1985-07-01","1985-08-01",44.7045161290323,37.94,51.98,-200,0,0,0,-200
"USC00505778","MCKINLEY PARK",1,1,"1985","08","1985-08-01","1985-09-01",40.0825806451613,32,46.94,-200,0,0,0,-200
"USC00505778","MCKINLEY PARK",1,1,"1985","09","1985-09-01","1985-10-01",31.796,23,41,-200,0,0,0,60
"USC00505778","MCKINLEY PARK",1,1,"1985","10","1985-10-01","1985-11-01",9.5116129032258,-20.02,32,-200,0.254000516129032,0,0.984252,-200
"USC00505778","MCKINLEY PARK",1,1,"1985","11","1985-11-01","1985-12-01",-3.292,-20.92,23,-200,7.636483184,2.00787408,12.9921264,-200
"USC00505778","MCKINLEY PARK",1,1,"1985","12","1985-12-01","1986-01-01",14.9522580645161,-14.98,35.06,-200,5.48873218758621,0.984252,10.00000032,-181
"USC00505778","MCKINLEY PARK",1,1,"1986","01","1986-01-01","1986-02-01",-1.39290322580645,-16.06,28.94,-200,4.46024906322581,2.99212608,7.00787424,-200
"USC00505778","MCKINLEY PARK",1,1,"1986","02","1986-02-01","1986-03-01",2.02357142857143,-32.08,33.98,-200,5.07311602285714,4.01574816,7.00787424,-200
"USC00505778","MCKINLEY PARK",1,1,"1986","03","1986-03-01","1986-04-01",-7.4083870967742,-29.02,10.94,-200,5.06985030193548,4.01574816,7.00787424,-200
"USC00505778","MCKINLEY PARK",1,1,"1986","04","1986-04-01","1986-05-01",6.806,-20.02,26.96,-200,5.725721968,4.01574816,7.00787424,-200
"USC00505778","MCKINLEY PARK",1,1,"1986","05","1986-05-01","1986-06-01",28.1096774193548,10.94,37.94,-200,0.62500002,0,2.99212608,-55
"USC00505778","MCKINLEY PARK",1,1,"1986","06","1986-06-01","1986-07-01",39.77,32,51.08,-200,0,0,0,-200
"USC00505778","MCKINLEY PARK",1,1,"1986","07","1986-07-01","1986-08-01",43.88,33.98,51.98,-200,0,0,0,-200
"USC00505778","MCKINLEY PARK",1,1,"1986","08","1986-08-01","1986-09-01",35.901935483871,21.92,48.02,-200,0,0,0,-200
"USC00505778","MCKINLEY PARK",1,1,"1986","09","1986-09-01","1986-10-01",32.06,14,46.94,-200,0.266404208,0,2.00787408,-200
"USC00505778","MCKINLEY PARK",1,1,"1986","10","1986-10-01","1986-11-01",16.4387096774194,3.92,35.96,-200,2.305118184,0,7.00787424,-94
"USC00505778","MCKINLEY PARK",1,1,"1986","11","1986-11-01","1986-12-01",4.304,-25.96,37.94,-200,2.897637888,0,7.00787424,-200
"USC00505778","MCKINLEY PARK",1,1,"1986","12","1986-12-01","1987-01-01",13.041935483871,-14.08,39.92,-200,3.64490740645161,2.00787408,7.99212624,-200
"USC00505778","MCKINLEY PARK",1,1,"1987","01","1987-01-01","1987-02-01",3.5716129032258,-31,33.08,-200,8.35153697032258,2.99212608,12.9921264,-200
"USC00505778","MCKINLEY PARK",1,1,"1987","02","1987-02-01","1987-03-01",1.11071428571428,-20.02,26.96,-200,6.05736802285714,5.98425216,7.00787424,-200
"USC00505778","MCKINLEY PARK",1,1,"1987","03","1987-03-01","1987-04-01",1.38838709677419,-25.96,26.06,-200,5.25400067612903,4.01574816,5.98425216,-200
"USC00505778","MCKINLEY PARK",1,1,"1987","04","1987-04-01","1987-05-01",15.206,6.08,30.02,-200,5.169291504,0.984252,10.98425232,-200
"USC00505778","MCKINLEY PARK",1,1,"1987","05","1987-05-01","1987-06-01",31.0070967741935,24.08,42.98,-200,0,0,0,13
"USC00505778","MCKINLEY PARK",1,1,"1987","06","1987-06-01","1987-07-01",39.908,30.02,48.92,-200,0,0,0,-200
"USC00505778","MCKINLEY PARK",1,1,"1987","07","1987-07-01","1987-08-01",45.3141935483871,33.98,51.98,-200,NA,NA,NA,100
"USC00505778","MCKINLEY PARK",1,1,"1987","08","1987-08-01","1987-09-01",39.8735483870968,17.06,50,-200,0,0,0,-200
"USC00505778","MCKINLEY PARK",1,1,"1987","09","1987-09-01","1987-10-01",28.178,10.94,44.06,-200,0.066929136,0,2.00787408,-200
"USC00505778","MCKINLEY PARK",1,1,"1987","10","1987-10-01","1987-11-01",23.418064516129,-5.98,37.94,-200,0.383540779354839,0,2.00787408,-200
"USC00505778","MCKINLEY PARK",1,1,"1987","11","1987-11-01","1987-12-01",2.366,-9.04,15.08,-200,3.564304576,0.984252,10.98425232,-200
"USC00505778","MCKINLEY PARK",1,1,"1987","12","1987-12-01","1988-01-01",-2.98387096774194,-20.02,30.92,-200,10.0635004490323,7.99212624,12.0078744,-200
"USC00505778","MCKINLEY PARK",1,1,"1988","01","1988-01-01","1988-02-01",-0.504516129032261,-23.98,21.02,-200,9.46024922322581,9.01574832,10.98425232,-200
"USC00505778","MCKINLEY PARK",1,1,"1988","02","1988-02-01","1988-03-01",0.468965517241376,-32.08,30.92,-200,11.341298217931,10.00000032,15.00000048,-200
"USC00505778","MCKINLEY PARK",1,1,"1988","03","1988-03-01","1988-04-01",6.54451612903225,-11.92,28.04,-200,13.5471175277419,10.00000032,19.01574864,-200
"USC00505778","MCKINLEY PARK",1,1,"1988","04","1988-04-01","1988-05-01",15.566,-14.98,35.06,-200,10.704724752,0,14.01574848,-200
"USC00505778","MCKINLEY PARK",1,1,"1988","05","1988-05-01","1988-06-01",33.3529032258065,21.92,42.98,-200,0,0,0,81
"USC00505778","MCKINLEY PARK",1,1,"1988","06","1988-06-01","1988-07-01",43.166,35.06,51.08,-200,NA,NA,NA,100
"USC00505778","MCKINLEY PARK",1,1,"1988","07","1988-07-01","1988-08-01",46.4464516129032,37.94,55.04,-200,NA,NA,NA,100
"USC00505778","MCKINLEY PARK",1,1,"1988","08","1988-08-01","1988-09-01",40.0361290322581,28.04,53.06,-200,0,0,0,-200
"USC00505778","MCKINLEY PARK",1,1,"1988","09","1988-09-01","1988-10-01",29.186,14,39.92,-200,0.3937008,0,0.984252,50
"USC00505778","MCKINLEY PARK",1,1,"1988","10","1988-10-01","1988-11-01",6.89870967741935,-11.02,35.06,-200,14.76378,0,20.98425264,-190
"USC00505778","MCKINLEY PARK",1,1,"1988","11","1988-11-01","1988-12-01",-7.234,-22,12.92,-200,15.874016256,14.01574848,20.00000064,-200
"USC00505778","MCKINLEY PARK",1,1,"1988","12","1988-12-01","1989-01-01",3.73419354838709,-23.98,30.92,-200,18.22834704,15.00000048,19.01574864,-200
"USC00505778","MCKINLEY PARK",1,1,"1989","01","1989-01-01","1989-02-01",-19.4161290322581,-50.98,17.96,-200,20.8026422709677,19.01574864,22.00787472,-200
"USC00505778","MCKINLEY PARK",1,1,"1989","02","1989-02-01","1989-03-01",3.82357142857143,-31,24.08,-200,26.6465137885714,20.98425264,32.99212704,-200
