"ID","Name","Region","Unit","YEAR","MONTH","START","END","TMINavg_F","TMINmin_F","TMINmax_F","TMINnull_pcnt","SNWDavg_in","SNWDmin_in","SNWDmax_in","SNWDnull_pcnt"
"USC00507097","PAXSON",1,1,"1980","01","1980-01-01","1980-02-01",-14.524,-36.94,21.92,3,25.6108720412903,17.99212656,30.98425296,0
"USC00507097","PAXSON",1,1,"1980","02","1980-02-01","1980-03-01",2.8,-20.02,24.08,7,27.4395881710345,25.9842528,32.99212704,0
"USC00507097","PAXSON",1,1,"1980","03","1980-03-01","1980-04-01",0.487999999999998,-20.02,15.98,3,28.6156981470968,25.9842528,32.00787504,0
"USC00507097","PAXSON",1,1,"1980","04","1980-04-01","1980-05-01",17.7986206896552,5,28.04,3,20.867454736,0,25.9842528,0
"USC00507097","PAXSON",1,1,"1980","05","1980-05-01","1980-06-01",28.598,19.94,39.02,3,2.06502419612903,0,12.0078744,0
"USC00507097","PAXSON",1,1,"1980","06","1980-06-01","1980-07-01",36.7945454545455,28.04,44.96,27,0,0,0,0
"USC00507097","PAXSON",1,1,"1980","07","1980-07-01","1980-08-01",41.9,35.06,48.02,10,0,0,0,0
"USC00507097","PAXSON",1,1,"1980","08","1980-08-01","1980-09-01",36.992,26.96,46.94,3,0,0,0,0
"USC00507097","PAXSON",1,1,"1980","09","1980-09-01","1980-10-01",28.9953846153846,15.08,44.06,13,0.166666672,0,2.00787408,0
"USC00507097","PAXSON",1,1,"1980","10","1980-10-01","1980-11-01",18.3634482758621,3.92,32,6,4.74218963612903,0,9.01574832,0
"USC00507097","PAXSON",1,1,"1980","11","1980-11-01","1980-12-01",7.37103448275862,-18.04,17.96,3,7.669291584,7.00787424,10.00000032,0
"USC00507097","PAXSON",1,1,"1980","12","1980-12-01","1981-01-01",-27.4062068965517,-45.94,19.94,6,12.6187456412903,9.01574832,17.99212656,0
"USC00507097","PAXSON",1,1,"1981","01","1981-01-01","1981-02-01",8.66206896551724,-11.92,30.02,6,15.514526697931,15.00000048,17.00787456,6
"USC00507097","PAXSON",1,1,"1981","02","1981-02-01","1981-03-01",3.995,-23.98,26.06,14,21.4642647692308,15.00000048,30.00000096,7
"USC00507097","PAXSON",1,1,"1981","03","1981-03-01","1981-04-01",8.20896551724138,-11.92,24.08,6,21.8084843148387,17.99212656,25.9842528,0
"USC00507097","PAXSON",1,1,"1981","04","1981-04-01","1981-05-01",5.99310344827586,-11.92,30.02,3,20.700788064,12.9921264,25.9842528,0
"USC00507097","PAXSON",1,1,"1981","05","1981-05-01","1981-06-01",32.5538461538462,24.08,42.08,16,1.57861320774194,0,10.98425232,0
"USC00507097","PAXSON",1,1,"1981","06","1981-06-01","1981-07-01",36.7775,28.04,44.96,20,0,0,0,20
"USC00507097","PAXSON",1,1,"1981","07","1981-07-01","1981-08-01",43.028,32,48.92,3,0,0,0,0
"USC00507097","PAXSON",1,1,"1981","08","1981-08-01","1981-09-01",39.7524137931035,19.94,48.02,6,0,0,0,0
"USC00507097","PAXSON",1,1,"1981","09","1981-09-01","1981-10-01",28,3.02,41,10,1.69947512,0,10.98425232,0
"USC00507097","PAXSON",1,1,"1981","10","1981-10-01","1981-11-01",19.7227586206897,3.02,33.08,6,4.79636181517241,2.99212608,12.0078744,6
"USC00507097","PAXSON",1,1,"1981","11","1981-11-01","1981-12-01",-2.24965517241379,-22,21.92,3,11.4797722924138,5.00000016,25.9842528,3
