"ID","Name","Region","Unit","Year","MONTH","START","END","SNWDavg_in","SNWDmin_in","SNWDmax_in","MISSING_pcnt"
"UNKNOWN","Yankee Slough",5,"21E","1997","02","1997-02-01","1997-03-01",28,NA,NA,NA
"UNKNOWN","Yankee Slough",5,"21E","1997","03","1997-03-01","1997-04-01",39,NA,NA,NA
"UNKNOWN","Yankee Slough",5,"21E","1997","04","1997-04-01","1997-05-01",36,NA,NA,NA
"UNKNOWN","Yankee Slough",5,"21E","1997","05","1997-05-01","1997-06-01",0,NA,NA,NA
"UNKNOWN","Yankee Slough",5,"21E","1997","06","1997-06-01","1997-07-01",NA,NA,NA,NA
"UNKNOWN","Yankee Slough",5,"21E","1997","07","1997-07-01","1997-08-01",NA,NA,NA,NA
"UNKNOWN","Yankee Slough",5,"21E","1997","08","1997-08-01","1997-09-01",NA,NA,NA,NA
"UNKNOWN","Yankee Slough",5,"21E","1997","09","1997-09-01","1997-10-01",NA,NA,NA,NA
"UNKNOWN","Yankee Slough",5,"21E","1997","10","1997-10-01","1997-11-01",NA,NA,NA,NA
"UNKNOWN","Yankee Slough",5,"21E","1997","11","1997-11-01","1997-12-01",NA,NA,NA,NA
"UNKNOWN","Yankee Slough",5,"21E","1997","12","1997-12-01","1997-13-01",NA,NA,NA,NA
"UNKNOWN","Yankee Slough",5,"21E","1998","01","1998-01-01","1998-02-01",NA,NA,NA,NA
"UNKNOWN","Yankee Slough",5,"21E","1998","02","1998-02-01","1998-03-01",NA,NA,NA,NA
"UNKNOWN","Yankee Slough",5,"21E","1998","03","1998-03-01","1998-04-01",34,NA,NA,NA
"UNKNOWN","Yankee Slough",5,"21E","1998","04","1998-04-01","1998-05-01",21,NA,NA,NA
"UNKNOWN","Yankee Slough",5,"21E","1998","05","1998-05-01","1998-06-01",6,NA,NA,NA
"UNKNOWN","Yankee Slough",5,"21E","1998","06","1998-06-01","1998-07-01",NA,NA,NA,NA
"UNKNOWN","Yankee Slough",5,"21E","1998","07","1998-07-01","1998-08-01",NA,NA,NA,NA
"UNKNOWN","Yankee Slough",5,"21E","1998","08","1998-08-01","1998-09-01",NA,NA,NA,NA
"UNKNOWN","Yankee Slough",5,"21E","1998","09","1998-09-01","1998-10-01",NA,NA,NA,NA
"UNKNOWN","Yankee Slough",5,"21E","1998","10","1998-10-01","1998-11-01",NA,NA,NA,NA
"UNKNOWN","Yankee Slough",5,"21E","1998","11","1998-11-01","1998-12-01",NA,NA,NA,NA
"UNKNOWN","Yankee Slough",5,"21E","1998","12","1998-12-01","1998-13-01",22,NA,NA,NA
"UNKNOWN","Yankee Slough",5,"21E","1999","01","1999-01-01","1999-02-01",NA,NA,NA,NA
"UNKNOWN","Yankee Slough",5,"21E","1999","02","1999-02-01","1999-03-01",NA,NA,NA,NA
"UNKNOWN","Yankee Slough",5,"21E","1999","03","1999-03-01","1999-04-01",36,NA,NA,NA
"UNKNOWN","Yankee Slough",5,"21E","1999","04","1999-04-01","1999-05-01",42,NA,NA,NA
"UNKNOWN","Yankee Slough",5,"21E","1999","05","1999-05-01","1999-06-01",NA,NA,NA,NA
"UNKNOWN","Yankee Slough",5,"21E","1999","06","1999-06-01","1999-07-01",NA,NA,NA,NA
"UNKNOWN","Yankee Slough",5,"21E","1999","07","1999-07-01","1999-08-01",NA,NA,NA,NA
"UNKNOWN","Yankee Slough",5,"21E","1999","08","1999-08-01","1999-09-01",NA,NA,NA,NA
"UNKNOWN","Yankee Slough",5,"21E","1999","09","1999-09-01","1999-10-01",NA,NA,NA,NA
"UNKNOWN","Yankee Slough",5,"21E","1999","10","1999-10-01","1999-11-01",NA,NA,NA,NA
"UNKNOWN","Yankee Slough",5,"21E","1999","11","1999-11-01","1999-12-01",NA,NA,NA,NA
"UNKNOWN","Yankee Slough",5,"21E","1999","12","1999-12-01","1999-13-01",15,NA,NA,NA
"UNKNOWN","Yankee Slough",5,"21E","2000","01","2000-01-01","2000-02-01",NA,NA,NA,NA
"UNKNOWN","Yankee Slough",5,"21E","2000","02","2000-02-01","2000-03-01",NA,NA,NA,NA
"UNKNOWN","Yankee Slough",5,"21E","2000","03","2000-03-01","2000-04-01",45,NA,NA,NA
"UNKNOWN","Yankee Slough",5,"21E","2000","04","2000-04-01","2000-05-01",43,NA,NA,NA
"UNKNOWN","Yankee Slough",5,"21E","2000","05","2000-05-01","2000-06-01",24,NA,NA,NA
"UNKNOWN","Yankee Slough",5,"21E","2000","06","2000-06-01","2000-07-01",NA,NA,NA,NA
"UNKNOWN","Yankee Slough",5,"21E","2000","07","2000-07-01","2000-08-01",NA,NA,NA,NA
"UNKNOWN","Yankee Slough",5,"21E","2000","08","2000-08-01","2000-09-01",NA,NA,NA,NA
