OID_,pikaSites_Buffer_Site,ScaledMean,ScaledSTD
1,P003,0.386795247395833,0.011650424369707
2,P005,0.543042838541667,0.036663902758963
3,P008,0.580750000000000,0.068294693297748
4,P007,0.520164282226563,0.015949490348508
5,P042,0.578767858886719,0.007990589805079
6,P037,0.677461897786458,0.027319009604038
7,P051,0.530471435546875,0.003050640955006
8,P038,0.580282128906250,0.041067467700728
9,P039,0.592090462239583,0.017670925314596
10,P157,0.596195247395833,0.016884551749978
11,P060,0.538457153320313,0.005742846679688
12,P153,0.598953576660156,0.018778148866391
13,P118,0.524989294433594,0.034421190221201
14,P063,0.421800006103516,0.057154367909336
15,P250,0.540853576660156,0.022773907698693
16,P128,0.544566666666667,0.056443363513782
17,P135,0.744652376302083,0.054600414693765
18,P133,0.756900016276042,0.009535836732316
19,MV,0.577096423339844,0.019567048095618
20,P146A,0.429295239257813,0.058562163477626
21,Polychrome,0.494239282226563,0.081428467167762
22,P138,0.582203564453125,0.040688378132033
23,P300,0.660471435546875,0.057144415472963
24,P301,0.432780948893229,0.134920189016624
25,P302,0.361566658528646,0.028498506469418
26,P303,0.534728576660156,0.073667570499370
27,P152A,0.517278576660156,0.053644521406779
28,P002,0.439989294433594,0.025922072531064
29,P092,0.418124987792969,0.046146459068955
30,P094,0.283835714721680,0.066129391814540
31,P119,0.460766666666667,0.027442487325106
32,P111,0.447228570556641,0.036505639824948
33,P609,0.474323803710938,0.129404723980531
34,P615,0.284192864990234,0.035758173671939
35,P601,0.579323795572917,0.088435488100398
36,P010A,0.462585709635417,0.032991595258103
37,P616,0.475647607421875,0.014155601036068
38,P617,0.391125006103516,0.065559057397850
39,P604,0.384574993896484,0.081539698514905
40,P605A,0.485039288330078,0.124068773250559
41,P100,0.652442854817708,0.029658609845281
42,P618,0.661878576660156,0.011342899736710
43,P612,0.567380957031250,0.020894988615039
44,P147,0.614042854817708,0.062146306377597
45,P619,0.568233333333333,0.083307061544346
46,JB01,0.331700000000000,0.044669376733101
47,JB02,0.339982147216797,0.064983726583580
