Data for June 1, 2017 through August 31, 2017

Name, StationType, Longitude, Latitude, Elevation, MeanAvgTemperature, mcnt, NumberofDaysMaxTemperature>=82.4, mcnt, PercentofDaysMaxTemperature>=82.4, mcnt, TotalPrecipitation, mcnt
PELICAN, COOP, -136.221, 57.958, 12, 54.0, 0, 0, 0, 0, 0, 22.70, 0
SNETTISHAM POWER PLANT, COOP, -133.738, 58.142, 29, 54.8, 0, 0, 0, 0, 0, 39.50, 0
HOONAH, COOP, -135.428, 58.107, 130, 54.8, 3, 1, 1, 1, 1, 12.83, 0
KITOI BAY, COOP, -152.372, 58.191, 60, 53.2, 4, 0, 4, 0, 4, 15.07, 0
ELFIN COVE, WBAN, -136.344, 58.192, 20, 52.5, 31, 0, 31, 0, 31, 7.52, 31
ANNEX CREEK, WBAN, -134.100, 58.318, 92, 51.7, 1, 0, 0, 0, 0, 26.98, 4
JUNEAU AIRPORT, WBAN, -134.564, 58.357, 16, 55.2, 0, 0, 0, 0, 0, 19.36, 0
AUKE BAY, COOP, -134.645, 58.381, 44, 54.4, 7, 0, 7, 0, 7, 25.88, 10
GLACIER BAY, COOP, -135.869, 58.456, 45, 53.3, 0, 0, 0, 0, 0, 13.31, 1
CANYON ISLAND, COOP, -133.679, 58.550, 20, 53.6, 0, 0, 0, 0, 0, 12.85, 0
YAKUTAT AIRPORT, WBAN, -139.671, 59.512, 33, 54.5, 0, 0, 0, 0, 0, 28.57, 0
HOMER AIRPORT, WBAN, -151.491, 59.642, 64, 55.5, 0, 0, 0, 0, 0, 4.42, 0
HOMER 8 NW, COOP, -151.635, 59.744, 1080, 51.7, 0, 0, 0, 0, 0, 6.26, 7
ILIAMNA AIRPORT, WBAN, -154.909, 59.749, 143, 55.0, 0, 0, 0, 0, 0, 7.87, 0
SEWARD AIRPORT, WBAN, -149.417, 60.128, 22, 54.1, 7, 1, 7, 1, 7, 10.56, 0
PORT ALSWORTH, WBAN, -154.316, 60.204, 260, 58.1, 16, 0, 16, 0, 16, 4.84, 14
MOOSE PASS 3NW, COOP, -149.426, 60.503, 492, 55.0, 0, 0, 0, 0, 0, 6.39, 0
CORDOVA AIRPORT, WBAN, -145.451, 60.489, 31, 53.1, 0, 0, 0, 0, 0, 24.64, 0
CORDOVA NORTH, COOP, -145.753, 60.556, 25, 54.5, 31, 0, 31, 0, 31, 40.59, 21
COOPER LANDING KENAI R, COOP, -149.809, 60.492, 419, 55.8, 2, 1, 2, 1, 2, M, 92
KENAI AIRPORT, WBAN, -151.239, 60.580, 91, 54.1, 0, 0, 0, 0, 0, 7.75, 0
PORTAGE GLACIER VISITOR CENTER, WBAN, -148.839, 60.785, 103, 52.7, 0, 0, 0, 0, 0, 30.86, 0
BETHEL AIRPORT, WBAN, -161.829, 60.785, 102, 55.7, 2, 0, 0, 0, 0, 10.03, 0
ALYESKA, COOP, -149.111, 60.958, 272, 56.6, 0, 0, 0, 0, 0, 12.51, 0
CANNERY CREEK, COOP, -147.515, 61.018, 85, 53.9, 0, 0, 0, 0, 0, 26.68, 0
ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, WBAN, -150.028, 61.169, 120, 57.7, 0, 0, 0, 0, 0, 7.10, 0
EAGLE RIVER NATURE CENTER, COOP, -149.271, 61.234, 520, 55.5, 13, 0, 13, 0, 13, 6.65, 0
ANCHORAGE MERRILL FIELD, WBAN, -149.855, 61.217, 138, 57.1, 1, 0, 0, 0, 0, 5.45, 0
