#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/reportGeneratorHelp/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: 2017-06-01 to 2017-08-31
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 1070: Anchorage Hillside, AK
#	SNOTEL 960: Eagle Summit, AK
#	SNOTEL 1268: Fielding Lake, AK
#	SNOLITE 1264: Horsepasture Pass, AK
#	SNOTEL 946: Indian Pass, AK
#	SNOTEL 1094: Monahan Flat, AK
#	SNOTEL 1103: Mt. Alyeska, AK
#	SNOTEL 1089: Tokositna Valley, AK
#	SNOTEL 1090: Upper Nome Creek, AK
#	SNOTEL 1055: Upper Tsaina River, AK
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description                                              
# Air Temperature Average     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency  
# Air Temperature Maximum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency  
# Precipitation Increment     Value       None           Day                           N/A        Inches              N/A           PRCP          Total precipitation                                      
# Precipitation Accumulation  Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation                     
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily; Date Range: 2017-06-01 to 2017-08-31
#
# As of: Sep 30, 2021 11:22:28 AM GMT-08:00
#
Date,Station Name,Network Code,Station Id,Latitude,Longitude,Elevation (ft),Air Temperature Average (degF),Air Temperature Maximum (degF),Precipitation Increment (in),Precipitation Accumulation (in) Start of Day Values
2017-06-01,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,56,71,0.00,11.0
2017-06-02,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,54,64,0.00,11.0
2017-06-03,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,53,62,0.00,11.0
2017-06-04,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,48,54,0.00,11.0
2017-06-05,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,46,54,0.10,11.0
2017-06-06,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,48,56,0.00,11.1
2017-06-07,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,51,59,0.00,11.1
2017-06-08,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,53,64,0.00,11.1
2017-06-09,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,57,66,0.00,11.1
2017-06-10,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,51,57,0.00,11.1
2017-06-11,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,49,57,0.00,11.1
2017-06-12,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,45,49,0.20,11.1
2017-06-13,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,44,48,0.00,11.3
2017-06-14,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,45,54,0.00,11.3
2017-06-15,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,47,64,0.00,11.3
2017-06-16,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,52,65,0.00,11.3
2017-06-17,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,52,61,0.00,11.3
2017-06-18,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,46,59,0.00,11.3
2017-06-19,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,48,63,0.00,11.3
2017-06-20,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,46,51,0.40,11.3
2017-06-21,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,47,55,0.00,11.7
2017-06-22,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,47,51,0.20,11.7
2017-06-23,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,46,50,0.00,11.9
2017-06-24,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,50,62,0.00,11.9
2017-06-25,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,56,66,0.00,11.9
2017-06-26,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,48,56,0.00,11.9
2017-06-27,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,50,55,0.00,11.9
2017-06-28,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,53,60,0.00,11.9
2017-06-29,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,49,51,0.00,11.9
2017-06-30,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,51,58,0.00,11.9
2017-07-01,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,53,61,0.00,11.9
2017-07-02,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,49,52,0.60,11.9
2017-07-03,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,48,49,0.30,12.5
2017-07-04,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,50,56,0.00,12.8
2017-07-05,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,56,67,0.00,12.8
2017-07-06,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,57,71,0.00,12.8
2017-07-07,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,56,62,0.00,12.8
2017-07-08,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,49,54,0.60,12.8
2017-07-09,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,49,59,0.00,13.4
2017-07-10,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,49,57,0.00,13.4
2017-07-11,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,52,61,0.00,13.4
2017-07-12,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,58,69,0.00,13.4
