#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/reportGeneratorHelp/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: 2018-06-01 to 2018-08-31
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 1070: Anchorage Hillside, AK
#	SNOTEL 960: Eagle Summit, AK
#	SNOTEL 1268: Fielding Lake, AK
#	SNOTEL 641: Frostbite Bottom, AK
#	SNOTEL 946: Indian Pass, AK
#	SNOLITE 768: Look Eyrie, AK
#	SNOTEL 1103: Mt. Alyeska, AK
#	SNOLITE 1279: Nicks Valley, AK
#	SNOTEL 1090: Upper Nome Creek, AK
# 
# Data items provided in this file:
#
# Element Name                        Value Type  Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Air Temperature Average             Value       None           Day                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency                                            
# Air Temperature Maximum             Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Precipitation Increment             Value       None           Day                           N/A        Inches              N/A           PRCP          Total precipitation                                                                                
# Precipitation Increment - Snow-adj  Value       None           Day                           N/A        Inches              N/A           PRCPSA        Snow adjusted total preciptation                                                                   
# Snow Depth                          Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent               Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily; Date Range: 2018-06-01 to 2018-08-31
#
# As of: Jul 30, 2021 8:35:13 AM GMT-08:00
#
Date,Station Name,Network Code,Station Id,Latitude,Longitude,Elevation (ft),Air Temperature Average (degF),Air Temperature Maximum (degF),Precipitation Increment (in),Precipitation Increment - Snow-adj (in),Snow Depth (in) Start of Day Values,Snow Water Equivalent (in) Start of Day Values
2018-06-01,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,47,62,0.00,0.00,0,0.0
2018-06-02,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,52,67,0.00,0.00,0,0.0
2018-06-03,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,48,59,0.00,0.00,0,0.0
2018-06-04,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,44,58,0.00,0.00,0,0.0
2018-06-05,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,44,56,0.00,0.00,0,0.0
2018-06-06,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,43,55,0.00,0.00,0,0.0
2018-06-07,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,50,61,0.00,0.00,0,0.0
2018-06-08,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,50,63,0.00,0.00,0,0.0
2018-06-09,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,52,63,0.10,0.10,0,0.0
2018-06-10,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,54,67,0.00,0.00,0,0.0
2018-06-11,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,45,57,0.50,0.50,0,0.0
2018-06-12,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,47,57,0.00,0.00,0,0.0
2018-06-13,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,48,61,0.00,0.00,0,0.0
2018-06-14,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,56,69,0.00,0.00,0,0.0
2018-06-15,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,46,54,1.40,1.40,0,0.0
2018-06-16,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,49,56,0.00,0.00,0,0.0
2018-06-17,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,51,56,0.00,0.00,0,0.0
2018-06-18,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,53,60,0.10,0.10,0,0.0
2018-06-19,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,53,60,0.00,0.00,0,0.0
2018-06-20,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,57,69,0.00,0.00,0,0.0
2018-06-21,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,54,59,0.00,0.00,0,0.0
2018-06-22,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,49,54,0.00,0.00,0,0.0
2018-06-23,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,47,58,0.00,0.00,0,0.0
2018-06-24,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,48,56,0.00,0.00,0,0.0
2018-06-25,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,49,56,0.00,0.00,0,0.0
2018-06-26,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,51,60,0.00,0.00,0,0.0
2018-06-27,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,50,55,0.00,0.00,0,0.0
2018-06-28,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,52,60,0.00,0.00,0,0.0
2018-06-29,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,51,57,0.00,0.00,0,0.0
2018-06-30,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,49,60,0.00,0.00,0,0.0
2018-07-01,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,55,69,0.00,0.00,0,0.0
2018-07-02,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,60,74,0.00,0.00,0,0.0
2018-07-03,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,62,78,0.00,0.00,0,0.0
2018-07-04,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,62,75,0.00,0.00,0,0.0
2018-07-05,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,61,74,0.00,0.00,0,0.0
2018-07-06,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,62,77,0.00,0.00,0,0.0
2018-07-07,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,61,72,0.00,0.00,0,0.0
2018-07-08,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,54,56,0.00,0.00,0,0.0
2018-07-09,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,51,56,0.10,0.10,0,0.0
2018-07-10,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,48,52,0.10,0.10,0,0.0
2018-07-11,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,47,53,0.50,0.50,0,0.0
2018-07-12,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,50,62,0.00,0.00,0,0.0
2018-07-13,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,49,58,0.00,0.00,0,0.0
2018-07-14,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,49,56,0.10,0.10,0,0.0
2018-07-15,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,49,58,0.10,0.10,0,0.0
