#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/reportGeneratorHelp/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: 2017-12-01 to 2018-03-31
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 1268: Fielding Lake, AK
#	SNOTEL 1072: Kantishna, AK
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration             Base Data  Measurement Units  Sensor Depth  Element Code  Description                           
# Precipitation Accumulation  Value       None           Instantaneous - Start of Day  N/A        Inches             N/A           PREC          Water year accumulated precipitation  
# Precipitation Increment     Value       None           Day                           N/A        Inches             N/A           PRCP          Total precipitation                   
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily; Date Range: 2017-12-01 to 2018-03-31
#
# As of: Sep 29, 2021 3:57:52 PM GMT-08:00
#
Date,Station Name,Network Code,Station Id,Latitude,Longitude,Elevation (ft),Precipitation Accumulation (in) Start of Day Values,Precipitation Increment (in)
2017-12-01,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,3.5,0.00
2017-12-02,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,3.5,0.30
2017-12-03,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,3.8,0.20
2017-12-04,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,4.0,0.00
2017-12-05,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,4.0,0.10
2017-12-06,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,4.1,0.70
2017-12-07,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,4.8,0.50
2017-12-08,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,5.3,0.30
2017-12-09,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,5.6,0.00
2017-12-10,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,5.6,0.00
2017-12-11,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,5.6,0.00
2017-12-12,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,5.6,0.00
2017-12-13,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,5.6,0.10
2017-12-14,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,5.7,0.10
2017-12-15,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,5.8,0.00
2017-12-16,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,5.8,0.00
2017-12-17,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,5.8,0.00
2017-12-18,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,5.8,0.10
2017-12-19,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,5.9,0.50
2017-12-20,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,6.4,0.00
2017-12-21,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,6.4,0.00
2017-12-22,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,6.4,0.00
2017-12-23,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,6.4,0.00
2017-12-24,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,6.4,0.00
